original_record_num,database_name,long_database_name,found_urls,url_source,match_quality,notes
10,,exe-muscle,NOT_FOUND,not_available,,No dedicated web interface found - tool exists but no database URL
20,,scswinformer,NOT_FOUND,not_available,,Tool/method for scRNA-seq annotation - no standalone database interface
29,,national injury resource database,NOT_FOUND,not_available,,NIRD described in paper but no public web interface found
50,,mixoplankton database,NOT_FOUND,not_available,,Available on Zenodo (excluded) - no dedicated web interface
59,,o-glcnac database,https://www.oglcnac.mcw.edu/,web_search,HIGH,O-GlcNAc Database - comprehensive catalog of O-GlcNAcylated proteins
60,mace,,NOT_FOUND,not_available,,Multiple tools named MACE - no single dedicated database interface
63,,digital-scrrbs,NOT_FOUND,not_available,,Microfluidics platform/technique - no database interface
69,sco-ph,,NOT_FOUND,not_available,,Could be SCOP database but unclear - sco-ph not found
94,,yeast optogenetic toolkit,NOT_FOUND,not_available,,Toolkit available via Addgene (excluded) - not a database
113,,croplife europe crop development database,NOT_FOUND,not_available,,C2D2 described in paper but no public web interface found
120,,molecules gateway,NOT_FOUND,not_available,,Described in paper but no dedicated public web interface found
131,kemet,,NOT_FOUND,not_available,,KEMET Corporation (electronics) - not a bioinformatics database
137,,simpitb,NOT_FOUND,not_available,,Pipeline tool available on GitHub (excluded) - not a web database
151,,codlncscape,NOT_FOUND,not_available,,Framework with GitHub repository (excluded) - no web interface
157,,autogrow4,NOT_FOUND,not_available,,Software tool available on GitHub (excluded) - not a database
158,,sadphos library,NOT_FOUND,not_available,,No specific database found with this name
159,,kinase-focused interaction database,NOT_FOUND,not_available,,KID described in paper but no public web interface found
166,,vitro kinase-to-phosphosite database,NOT_FOUND,not_available,,iKiP-DB described in paper - data on Figshare (excluded)
176,,animal parasitic diseases and drugs database,NOT_FOUND,not_available,,APDDD described in paper but no dedicated web interface found
193,,plant rdna database,https://www.plantrdnadatabase.com/,web_search,HIGH,Plant rDNA Database - ribosomal DNA loci information
198,,chip-hub,NOT_FOUND,not_available,,No specific chip-hub database found
203,,zchsound,NOT_FOUND,not_available,,No database found with this name
210,en-tex,,http://entex.encodeproject.org/,web_search,HIGH,EN-TEx - Encyclopedia of DNA Elements Tissue Expression resource
212,repair,,NOT_FOUND,not_available,,REPAIRtoire exists but appears to be discontinued
230,octa,,NOT_FOUND,not_available,,OCTA-500 dataset exists but on IEEE Dataport (excluded)
249,green,,NOT_FOUND,not_available,,Multiple databases named GREEN - unclear which one
250,tf2tg,,https://www.flyrnai.org/tools/tf2tg/web/,web_search,HIGH,TF2TG - Transcription Factor to Target Gene database for Drosophila
251,,phor-in-one,NOT_FOUND,not_available,,Multilingual lexical database - not a bioresource database
254,,mfishbt,NOT_FOUND,not_available,,No database found with this name - FishBase exists but different
256,,gashissdb,NOT_FOUND,not_available,,Available on Gitee/Figshare (excluded) - not a web interface
257,pazy,,https://www.pazy.eu/,web_search,HIGH,PAZy - Plastics-Active Enzymes Database
273,,water rights,NOT_FOUND,not_available,,State-level databases exist but no single bioresource database
278,pshg-tiss,,NOT_FOUND,not_available,,Available on OSF (excluded) - image collection not web database
280,h,,NOT_FOUND,not_available,,Too generic - cannot determine specific database
281,brainoer,,NOT_FOUND,not_available,,Educational repository - not a bioresource database
288,pip,,NOT_FOUND,not_available,,PIP-DB mentioned in papers but no active web interface found
290,refine,,https://www.refine.bio/,web_search,HIGH,refine.bio - multi-organism gene expression database
305,,omicsdk,NOT_FOUND,not_available,,OmicsDI exists but unclear if this is the same database
308,topas,,NOT_FOUND,not_available,,TOPS database exists for protein topology - unclear if same
311,i-tasser-mtd,,https://seq2fun.dcmb.med.umich.edu/I-TASSER-MTD/,web_search,HIGH,I-TASSER-MTD - multi-domain protein structure prediction server
321,rvdb,,https://rvdb.dbi.udel.edu/,web_search,HIGH,RVDB - Reference Viral Database
322,pkad-r,,NOT_FOUND,not_available,,No database found with this name
339,,shennong,NOT_FOUND,not_available,,No database found with this name
344,16ostm10,,NOT_FOUND,not_available,,No database found with this name
347,a-soid,,NOT_FOUND,not_available,,No database found with this name
349,,chipola,NOT_FOUND,not_available,,No database found with this name
351,,lead-tutor,NOT_FOUND,not_available,,No database found with this name
356,,melastomatraits,NOT_FOUND,not_available,,No database found with this name
357,derlex,,NOT_FOUND,not_available,,No database found with this name
360,gs-tcga,,NOT_FOUND,not_available,,No database found with this name
363,,searchsmart.org,NOT_FOUND,not_available,,URL in name suggests web resource but not accessible
365,,uavs-ffdb,NOT_FOUND,not_available,,No database found with this name
367,anfisa,,NOT_FOUND,not_available,,No database found with this name
372,,lenscat,NOT_FOUND,not_available,,No database found with this name
381,,lung cancer autochthonous model gene expression database,NOT_FOUND,not_available,,No database found with this name
385,r-bind,,NOT_FOUND,not_available,,No database found with this name
402,,glaucoma-trel,NOT_FOUND,not_available,,No database found with this name
410,nsides,,NOT_FOUND,not_available,,No database found with this name
432,miggri,,NOT_FOUND,not_available,,No database found with this name
441,,flyatlas 2,https://flyatlas.gla.ac.uk/FlyAtlas2/index.html,web_search,HIGH,FlyAtlas 2 - Drosophila melanogaster gene expression atlas
447,quam-afm,,NOT_FOUND,not_available,,No database found with this name
469,,congenital heart surgery database,NOT_FOUND,not_available,,No database found with this name
477,,hydrocarbon aerobic degradation enzymes and genes,NOT_FOUND,not_available,,No database found with this name
482,,outbreak.info,https://outbreak.info/,web_search,HIGH,outbreak.info - COVID-19 and SARS-CoV-2 data platform
484,calerie,,NOT_FOUND,not_available,,No database found with this name
511,rtk,,NOT_FOUND,not_available,,Too generic - cannot determine specific database
517,,allosteric database,https://mdl.shsmu.edu.cn/ASD/,web_search,HIGH,ASD - Allosteric Database
528,unifan,,NOT_FOUND,not_available,,No database found with this name
532,,brain-wide neuron quantification toolkit,NOT_FOUND,not_available,,Toolkit - not a database
547,,arrest/interrogate,NOT_FOUND,not_available,,No database found with this name
548,,unicarb-db,https://unicarb-db.expasy.org/,web_search,HIGH,UniCarb-DB - glycomic spectral database
549,,tbtools,NOT_FOUND,not_available,,Software toolkit available on GitHub (excluded) - not a web database
561,,hierarchical time-indexed database,NOT_FOUND,not_available,,Too generic - cannot determine specific database
562,pcas,,NOT_FOUND,not_available,,No database found with this name
565,ncmd,,NOT_FOUND,not_available,,No database found with this name
568,galaxy,,NOT_FOUND,not_available,,Too generic - Galaxy platform exists but unclear if this refers to it
577,endae,,NOT_FOUND,not_available,,No database found with this name
580,,tapioca,NOT_FOUND,not_available,,No database found with this name
592,,international spinal cord injury biobank,NOT_FOUND,not_available,,No database found with this name
594,titan-x,,NOT_FOUND,not_available,,No database found with this name
602,,food disaggregation database,NOT_FOUND,not_available,,No database found with this name
629,,tastepeptides-meta,NOT_FOUND,not_available,,No database found with this name
652,,rna-puzzles,NOT_FOUND,not_available,,No database found with this name
664,,pm-profiler,NOT_FOUND,not_available,,No database found with this name
675,,cervical spine x-ray atlas,NOT_FOUND,not_available,,No database found with this name
680,forage,,NOT_FOUND,not_available,,No database found with this name
