pmid,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,title
39073886,2024-07-29,"LIPME, Université de Toulouse, INRAE/CNRS UMR 0441/2598, Castanet-Tolosan, France.","Carrère S, Routaboul JM, Savourat P, Bellenot C, López H, Sahoo A, Quiroz Monnens T, Ricou A, Camilleri C, Declerck N, Laufs P, Mercier R, Noël LD","ANR‐18‐CE20‐0020‐01, ANR-18-EURE-0019, ANR‐18‐EURE‐0019, ANR-18-CE20-0020-01, ANR‐11‐IDEX‐0003‐02, ANR-10-LABX-41, ANR-11-IDEX-0003-02, ANR-17-EUR-0007, ANR‐10‐LABX‐41, ANR‐17‐EUR‐0007","Agence Nationale de la Recherche, Agence Nationale de la Recherche, Agence Nationale de la Recherche, Agence Nationale de la Recherche, Agence Nationale de la Recherche, Agence Nationale de la Recherche, Agence Nationale de la Recherche, Agence Nationale de la Recherche, Agence Nationale de la Recherche, Agence Nationale de la Recherche",2,A fully sequenced collection of homozygous EMS mutants for forward and reverse genetic screens in Arabidopsis thaliana.
39657145,2024-12-01,"Structural Genomics Consortium, University of Toronto, 101 College Street, MaRS South Tower, Suite 700, Toronto, Ontario M5G 1L7, Canada.","Kwak HA, Liu L, Schapira M","1097737, RGPIN-2019-04416, SIF STREAM 5, 202309PJT, 875510","The Structural Genomics Consortium, NSERC, Canadian Strategic Innovation Fund, Canadian Strategic Innovation Fund, CIHR, Innovative Medicines Initiative 2 Joint Undertaking",0,Probe my Pathway (PmP): a portal to explore the chemical coverage of the human Reactome.
39934826,2025-02-11,"State Key Laboratory of Fluorine and Nitrogen Chemistry and Advanced Materials, Shanghai Institute of Organic Chemistry, Chinese Academy of Sciences, University of Chinese Academy of Sciences, 345 Lingling Road, Shanghai, 200032, China.","Mulka R, Su D, Huang WS, Zhang L, Huang H, Lai X, Li Y, Xue XS","2021YFF0701700, 21933004, XDB0590000, YSBR-052, 22122104, 22193012, YSBR-095","Ministry of Science and Technology of China, National Natural Science Foundation of China, Strategic Priority Research Program of the Chinese Academy of Sciences, CAS Project for Young Scientists in Basic Research, National Natural Science Foundation of China, National Natural Science Foundation of China, CAS Project for Young Scientists in Basic Research",1,FluoBase: a fluorinated agents database.
39475188,2025-01-01,"Institute for Physiology & Science-IT, Charité - University Medicine Berlin, 10115 Berlin, Germany.","Kemmler E, Lemfack MC, Goede A, Gallo K, Toguem SMT, Ahmed W, Millberg I, Preissner S, Piechulla B, Preissner R","428447634, CRU339, 428445448, 428445448, Pi153/36-1","Food allergy and tolerance, German Research Foundation, Food allergy and tolerance, Food allergy and tolerance (FOOD@), German Research Foundation, University of Rostock",10,mVOC 4.0: a database of microbial volatiles.
39535052,2025-01-01,"The Institute of Biochemistry, Food and Nutrition, The Robert H Smith Faculty of Agriculture, Food and Environment, The Hebrew University of Jerusalem, Rehovot 76100, Israel.","Ziaikin E, David M, Uspenskaya S, Niv MY",,"Ministry of Innovation, Good Food Israel, Ministry of Agriculture, Hebrew University of Jerusalem",11,BitterDB: 2024 update on bitter ligands and taste receptors.
40251157,2025-04-18,"Department of Pathology, University of Alabama at Birmingham, Birmingham, AL, USA.","Karthikeyan SK, Chandrashekar DS, Sahai S, Shrestha S, Aneja R, Singh R, Kleer CG, Kumar S, Qin ZS, Nakshatri H, Manne U, Creighton CJ, Varambally S","U54 CA118948, P30 CA125123","NCI NIH HHS, NCI NIH HHS",5,"MammOnc-DB, an integrative breast cancer data analysis platform for target discovery."
37881892,2023-12-01,"Institute for Chemical Research, Kyoto University, Uji, Kyoto, Japan.","Jin Z, Sato Y, Kawashima M, Kanehisa M",JPMJND2203,Japan Science and Technology Agency,35,KEGG tools for classification and analysis of viral proteins.
38426331,2024-03-01,"Division of Infectious Diseases and International Medicine, Department of Medicine, University of Minnesota, Minneapolis, MN 55455, United States.","Misra M, Jeffy J, Liao C, Pickthorn S, Wagh K, Herschhorn A","R01 AI167653, R37 AI150590, DP2 DA049279, U01 AI169587","National Institutes of Health, National Institute of Allergy and Infectious Diseases, NIAID NIH HHS, National Institute on Drug Abuse, NIAID NIH HHS, NIH HHS, NIDA NIH HHS, NIAID NIH HHS",6,HIResist: a database of HIV-1 resistance to broadly neutralizing antibodies.
39095083,2024-09-16,"Section of Bioinformatics and Systems Cardiology, Department of Internal Medicine III and Klaus Tschira Institute for Integrative Computational Cardiology, Heidelberg University Hospital, 69120 Heidelberg, Germany.","Britto-Borges T, Gehring NH, Boehm V, Dieterich C","DI 1501/12-1, GE 2014/10-1, 407493903, 423957469","DFG grant, DFG Research Infrastructure West German Genome Center, Next-Generation Sequencing Competence Network",6,NMDtxDB: data-driven identification and annotation of human NMD target transcripts.
36693629,2023-01-24,"Institute for Mathematics and Computer Science, University of Southern Denmark, 5000 Odense, Denmark.","Rehfeldt TG, Gabriels R, Bouwmeester R, Gessulat S, Neely BA, Palmblad M, Perez-Riverol Y, Schmidt T, Vizcaíno JA, Deutsch EW","223745/Z/21/Z, DBI-1933311, BB/V018779/1, R24 GM127667, 00028116, 12B7123N, BB/S01781X/1, HBC.2020.2205, 823839, R01 GM087221, R01 GM087221, R24 GM127667, U19 AG023122, IOS-1922871, U19 AG023122","Wellcome Trust, National Science Foundation, Biotechnology and Biological Sciences Research Council, NIGMS NIH HHS, European Molecular Biology Laboratory, Velux Fonden, Wellcome Trust, Fonds Wetenschappelijk Onderzoek, Biotechnology and Biological Sciences Research Council, Agentschap Innoveren en Ondernemen, Horizon 2020 Framework Programme, NIGMS NIH HHS, National Institute of General Medical Sciences, National Institute of General Medical Sciences, National Institute on Aging, National Science Foundation, NIA NIH HHS, Dutch Research Council (NWO)",12,ProteomicsML: An Online Platform for Community-Curated Data sets and Tutorials for Machine Learning in Proteomics.
