ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,name_modification_flags,url_validation
"34791375, 39535037",DISCO,0.0,disco,0.0,,0.0,2,https://www.immunesinglecell.org/,405,,,,,,,,,,,disco,CAPITALIZED,ok
39593035,genotes,0.99036914,,0.99036914,genotes,0.99036914,1,,no_url,,,,,,,,,,,genotes,,ok
35303059,microrna childhood cancer catalog,0.97285163,,0.97285163,microrna childhood cancer catalog,0.97285163,1,https://m3cs.shinyapps.io/M3Cs/,405,,,,,,,,,,,microrna childhood cancer catalog,,ok
37789571,cation-aromatic database,0.94468856,,0.94468856,cation-aromatic database,0.94468856,1,https://acds.neist.res.in/cadv2,"HTTPSConnectionPool(host='acds.neist.res.in', port=443): Max retries exceeded with url: /cadv2 (Caus",,,,,,,,,,,cation-aromatic database,,ok
39526387,scdrugact,0.9989001,,0.9989001,scdrugact,0.9989001,1,http://bio-bigdata.hrbmu.edu.cn/scDrugAct/,"HTTPConnectionPool(host='bio-bigdata.hrbmu.edu.cn', port=80): Max retries exceeded with url: /scDrug",,,,,,,,,,,scdrugact,,ok
35886662,exe-muscle,0.9983098,,0.9983098,exe-muscle,0.9983098,1,,no_url,,,,,,,,,,,exe-muscle,,ok
39458265,probio-ichnos,0.99757767,,0.99757767,probio-ichnos,0.99757767,1,,no_url,,,,,,,,,,,probio-ichnos,,ok
39366993,course-skill atlas,0.9954441,,0.9954441,course-skill atlas,0.9954441,1,,no_url,,,,,,,,,,,course-skill atlas,,ok
37549162,dysarthric expressed emotional database,0.99526817,,0.99526817,dysarthric expressed emotional database,0.99526817,1,,no_url,,,,,,,,,,,dysarthric expressed emotional database,,ok
36115858,world carbon pricing database,0.9949294,,0.9949294,world carbon pricing database,0.9949294,1,,no_url,,,,,,,,,,,world carbon pricing database,,ok
39101690,scswinformer,0.99417377,,0.99417377,scswinformer,0.99417377,1,,no_url,,,,,,,,,,,scswinformer,,ok
37114214,eccbase,0.99413526,,0.99413526,eccbase,0.99413526,1,http://www.eccbase.net,"HTTPConnectionPool(host='www.eccbase.net', port=80): Max retries exceeded with url: / (Caused by Con",,,,,,,,,,,eccbase,,ok
38162465,rosaceae fruit transcriptome database,0.9933397,,0.9933397,rosaceae fruit transcriptome database,0.9933397,1,,no_url,,,,,,,,,,,rosaceae fruit transcriptome database,,ok
37112833,ebv gastric cancer resource,0.99270105,,0.99270105,ebv gastric cancer resource,0.99270105,1,,no_url,,,,,,,,,,,ebv gastric cancer resource,,ok
38341426,allen ancient dna resource,0.9924705,,0.9924705,allen ancient dna resource,0.9924705,1,,no_url,,,,,,,,,,,allen ancient dna resource,,ok
40229253,GERDA,0.98994595,gerda,0.98994595,,0.98994595,1,https://www.german-elections.com/,"HTTPSConnectionPool(host='www.german-elections.com', port=443): Max retries exceeded with url: / (Ca",,,,,,,,,,,gerda,CAPITALIZED,ok
38102040,national injury resource database,0.9870758,,0.9870758,national injury resource database,0.9870758,1,,no_url,,,,,,,,,,,national injury resource database,,ok
35654905,animaltraits,0.9866469,,0.9866469,animaltraits,0.9866469,1,,no_url,,,,,,,,,,,animaltraits,,ok
39364092,molecules with androgenic activity resource,0.98614156,,0.98614156,molecules with androgenic activity resource,0.98614156,1,,no_url,,,,,,,,,,,molecules with androgenic activity resource,,ok
38641811,drug-online,0.9842151,,0.9842151,drug-online,0.9842151,1,http://39.106.7.26:8000/Drug-Online/,"HTTPConnectionPool(host='39.106.7.26', port=8000): Max retries exceeded with url: /Drug-Online/ (Cau",,,,,,,,,,,drug-online,,ok
40217418,sleep and activity database for the early years,0.98209774,,0.98209774,sleep and activity database for the early years,0.98209774,1,,no_url,,,,,,,,,,,sleep and activity database for the early years,,ok
37026389,cyanoseq,0.98164713,,0.98164713,cyanoseq,0.98164713,1,,no_url,,,,,,,,,,,cyanoseq,,ok
39441065,european chemical biology database,0.9812139,,0.9812139,european chemical biology database,0.9812139,1,https://ecbd.eu,"HTTPSConnectionPool(host='ecbd.eu', port=443): Max retries exceeded with url: / (Caused by SSLError(",,,,,,,,,,,european chemical biology database,,ok
37860605,medical informatics operating room vitals and events repository,0.98001033,,0.98001033,medical informatics operating room vitals and events repository,0.98001033,1,,no_url,,,,,,,,,,,medical informatics operating room vitals and events repository,,ok
