name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles
TITLE_CAPITALIZED,"34718743, 39470737",BacDive,0.0,,0.0,bacdive,0.0,2,https://bacdive.dsmz.de,200,,,,2022-01-01,"Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures, Braunschweig, Germany.; Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures, Braunschweig, Germany.","Chamanara J, Ebeling C, Gupta R, Ilangovan V, Koblitz J, Overmann J, Podstawka A, Reimer LC, Sardà Carbasse J, Schmidt ML, Schober I","021A539C, 442032008, 460129525, 8005512001, 8005512901, K280/2019, OV 20/20-1, de.NBI 021A539C","DZIF, Deutsche Forschungsgemeinschaft, Federal Ministry of Education and Research, Leibniz Association",168.0,"Andorra, Germany",bacdive,ok,BacDive in 2022: the knowledge base for standardized bacterial and archaeal data. | BacDive in 2025: the core database for prokaryotic strain data.
"CAPITALIZED,TITLE_CAPITALIZED","36624665, 39535036",canSAR,0.0,cansar,0.0,,0.0,2,https://cansar.ai,200,,,,2023-01-01,"The Department of Genomic Medicine & The Institute of Data Science in Oncology, MD Anderson Cancer Center, Houston, TX, USA.; Department of Genomic Medicine; Therapeutics Discovery Division; and The Institute for Data Science in Oncology; University of Texas MD Anderson Cancer Center, Houston, TX 77030, USA.","Al-Lazikani B, Antolin AA, Biswas A, Brammer KM, Chitsazi R, Darkoh M, Dolciami D, Gingrich PW, Hu H, Jiang C, Li J, Maxwell DS, Mica IL, Mitsopoulos C, Ramagiri P, Russell KP, Sanfelice D, Shu Z, Tacy JA, Tym JE, Villasclaras-Fernandez E, Workman P, Zhao L, di Micco P","204735/Z/16/Z, 212969/Z/18/Z, 22897, C2739/A22897, C309/A11566, C309/A27413, C309/A31322, C35696/A23187, C9685/A26398/RG93685, RR210007","Anderson Institute for Data Science in Oncology, Bone Cancer research Trust, Brain Tumour Centre of Excellence, CPRIT, CRUK Programme, Cancer Prevention and Research Institute of Texas, Cancer Research UK, Chordoma Foundation, Infrastructure Award, Mark Foundation, Strategic Award, The Lyda Hill Foundation, Wellcome Trust, Wellcome Trust Sir Henry Wellcome Postdoctoral Fellowship, ‘canSAR: enhancing the drug discovery knowledgebase’",32.0,"Andorra, United States",cansar,ok,canSAR: update to the cancer translational research and drug discovery knowledgebase. | canSAR 2024-an update to the public drug discovery knowledgebase.
CAPITALIZED,"36300620, 37881892, 39417505",KEGG,0.0,kegg,0.0,,0.0,3,https://www.kegg.jp,200,,,,2023-01-01,"Institute for Chemical Research, Kyoto University, Uji, Kyoto 611-0011, Japan.; Institute for Chemical Research, Kyoto University, Uji, Kyoto, Japan.; Institute for Chemical Research, Kyoto University, Uji, Kyoto 611-0011, Japan.","Furumichi M, Ishiguro-Watanabe M, Jin Z, Kanehisa M, Kawashima M, Matsuura Y, Sato Y",JPMJND2203,"Japan Science and Technology Agency, NBDC Database Integration Coordination Program",4399.0,Japan,kegg,ok,KEGG for taxonomy-based analysis of pathways and genomes. | KEGG tools for classification and analysis of viral proteins. | KEGG: biological systems database as a model of the real world.
TITLE_CAPITALIZED,"36408920, 39552041",UniProt,0.0,,0.0,uniprot,0.0,2,https://www.uniprot.org/,200,,,,2023-01-01,,,"825575, BB/S01781X/1, BB/T010541/1, BB/T015608/1, BB/X002179/1, HG002273, OD/DPCPSI/ODSS, P41 HG002273, R01 HG002273, R35 GM141873, R35GM141873, U24 HG007822, U24 HG012212, U24 OD038424, U24HG007822, U41 HG002273, U41 HG007822","Biotechnology and Biological Sciences Research Council, European Molecular Biology Laboratory, European Molecular Biology Laboratory (EMBL) Australia, Horizon 2020 - Research and Innovation Framework Programme, Lung, NCI NIH HHS, NEI NIH HHS, NHGRI NIH, NHGRI NIH HHS, NHLBI NIH HHS, NIA NIH HHS, NIDDK NIH HHS, NIGMS NIH HHS, NIH HHS, National Cancer Institute, National Eye Institute, National Heart, National Human Genome Research Institute, National Institute of Allergy and Infectious Diseases, National Institute of Diabetes and Digestive and Kidney Diseases, National Institute of General Medical Sciences, National Institute on Aging, National Institutes of Health, National Science Foundation's Directorate for Biological Sciences, National Science Foundation’s Directorate for Biological Sciences, ODCDC CDC HHS, Office of the Director, Open Targets, Research and Innovation, SERI, State Secretariat for Education, and Blood Institute",5071.0,,uniprot,ok,UniProt: the Universal Protein Knowledgebase in 2023. | UniProt: the Universal Protein Knowledgebase in 2025.
TITLE_CAPITALIZED,35891797,CRISPR-surfaceome,0.9071792,,0.9071792,crispr-surfaceome,0.9071792,1,https://crispr-surfaceome.siais.shanghaitech.edu.cn/home,200,,,,2022-07-18,"Shanghai Institute for Advanced Immunochemical Studies, ShanghaiTech University, Shanghai 201210, China.","Gu Q, Jiang L, Liu J, Mei H, Meng Y, Wang W",,,4.0,China,crispr-surfaceome,ok,CRISPR-surfaceome: An online tool for designing highly efficient sgRNAs targeting cell surface proteins.
TITLE_CAPITALIZED,37811871,m7GHub,0.99676806,m7ghub,0.99676806,,0.99676806,1,http://www.rnamd.org/m7GHub2,200,,,,2024-01-01,"Department of Public Health, School of Medicine & Holistic Integrative Medicine, Nanjing University of Chinese Medicine, Nanjing 210023, China.","Chen K, Liang Z, Ma J, Meng J, Rigden DJ, Song B, Wang X, Xia R, Zhang Y, de Magalhães JP","013038030001, 31671373, 32100519, KSF-E-51, KSF-P-02","National Natural Science Foundation of China, Scientific Research Foundation of Nanjing University of Chinese Medicine, XJTLU Key Program Special Fund, Xi'an Jiaotong-Liverpool University, Xi’an Jiaotong-Liverpool University",21.0,China,m7ghub,ok,m7GHub V2.0: an updated database for decoding the N7-methylguanosine (m7G) epitranscriptome.
TITLE_CAPITALIZED,36040109,G-DIRT,0.9966478,g-dirt,0.9966478,,0.9966478,1,http://webtools.nbpgr.ernet.in/gdirt/,200,,,,2022-09-01,"ICAR-National Bureau of Plant Genetic Resources (ICAR-NBPGR), New Delhi, India.","Jacob SR, Jha SK, Kumar S, Mittal S, Sahu TK, Singh AK, Singh K",BT/Ag/ Network/Wheat/2019-20,"Department of Biotechnology, India, Ministry of Science and Technology",6.0,India,g-dirt,ok,G-DIRT: a web server for identification and removal of duplicate germplasms based on identity-by-state analysis using single nucleotide polymorphism genotyping data.
TITLE_CAPITALIZED,35662469,OpenPIP,0.99598205,,0.99598205,openpip,0.99598205,1,http://openpip.baderlab.org/,200,,,,2022-04-26,"Department of Computer Science, Lakehead University, Thunder Bay, ON, Canada.","Bader GD, Calderwood MA, Hao T, Helmy M, Luck K, Mee M, Ranjan A, Vidal M",,NIH,9.0,Canada,openpip,ok,"OpenPIP: An Open-source Platform for Hosting, Visualizing and Analyzing Protein Interaction Data."
TITLE_CAPITALIZED,36161321,Cell Taxonomy,0.9946529,,0.9946529,cell taxonomy,0.9946529,1,https://ngdc.cncb.ac.cn/celltaxonomy,200,,,,2023-01-01,"National Genomics Data Center & CAS Key Laboratory of Genome Sciences and Information, Beijing Institute of Genomics, Chinese Academy of Sciences, Beijing 100101, China.","Bao Y, Chen M, Chu Y, Jiang S, Jin T, Jing W, Luo S, Qian Q, Shang Y, Wu Z, Xiao J, Zhang R, Zhang Y, Zhang Z, Zhu T, Zong W, Zou D","153F11KYSB20160008, 2016YFC0901903, 2017YFC0907502, 2018134, 2020YFA0907001, 31100915, 31681595, 31871328, 31970634, 32030021, 32100520, WX145XQ07-04, XDA19050302, XDB38030400","Chinese Academy of Sciences, National Key Research and Development Program of China, National Natural Science Foundation of China, The Open Biodiversity and Health Big Data Programme of IUBS, Youth Innovation Promotion Association of the Chinese Academy of Sciences",43.0,"Andorra, China",cell taxonomy,ok,Cell Taxonomy: a curated repository of cell types with multifaceted characterization.
TITLE_CAPITALIZED,35148171,Genome Nexus,0.99448127,,0.99448127,genome nexus,0.99448127,1,https://www.genomenexus.org,200,,,,2022-02-01,"Marie-Josée and Henry R. Kravis Center for Molecular Oncology, Memorial Sloan Kettering Cancer Center, New York, NY.","Abeshouse A, Fijneman RJA, Gao J, Gross B, Heins Z, Kandoth C, Li X, Lisman A, Lukasse P, Meijer GA, Ochoa A, Rodenburg S, Sadagopan A, Schultz N, Sheridan R, Sumer SO, Tan S, Thum A, Wang A, Wilson M, Zhang E, Zhang H, de Bruijn I, van Hagen S",P30 CA008748,NCI NIH HHS,8.0,Andorra,genome nexus,ok,Genome Nexus: A Comprehensive Resource for the Annotation and Interpretation of Genomic Variants in Cancer.
