ID,best_name,best_name_original,name_modification_flags,extracted_url
"36624665, 39535036",CANSAR,cansar,CAPITALIZED,https://cansar.ai
"34791375, 39535037",DISCO,disco,CAPITALIZED,https://www.immunesinglecell.org/
"36300620, 37881892, 39417505",KEGG,kegg,CAPITALIZED,https://www.kegg.jp
39475723,BAKREP,bakrep,CAPITALIZED,https://bakrep.computational.bio
40229253,GERDA,gerda,CAPITALIZED,https://www.german-elections.com/
35637887,cold region data accessibility portal for quebec,cold region data accessibility portal for québec,CHARS_SANITIZED,
39910485,SORFDB,sorfdb,CAPITALIZED,https://sorfdb.computational.bio
35576088,MACE,mace,CAPITALIZED,
36882443,WAVES,waves,CAPITALIZED,
38022697,EDAVE,edave,CAPITALIZED,https://edave.pum.edu.pl/
38709877,ISOVIS,isovis,CAPITALIZED,https://isomix.org/isovis/
36512929,OSADHI,osadhi,CAPITALIZED,https://neist.res.in/osadhi/
40484097,FUNIN,funin,CAPITALIZED,http://funindb.lbqc.org
36698975,CUCUME,cucume,CAPITALIZED,http://cucume.cn/
38662570,CORDAX,cordax,CAPITALIZED,https://cordax.switchlab.org/
36170113,MANE,mane,CAPITALIZED,https://texmst.ibms.sinica.edu.tw/
38472250,EUPRO,eupro,CAPITALIZED,
37143876,LDRGDB,ldrgdb,CAPITALIZED,https://ldrgdb.in/
35422973,KEMET,kemet,CAPITALIZED,
38769057,REME,reme,CAPITALIZED,https://reme.biodesign.ac.cn/
37516737,NZTD,nztd,CAPITALIZED,
39526369,MOTUS,motus,CAPITALIZED,https://motus-db.org
37891644,AON,aon,CAPITALIZED,
37846051,SEMLA,semla,CAPITALIZED,https://ludvigla.github.io/semla/
37808543,rio hortega university hospital glioblastoma dataset,río hortega university hospital glioblastoma dataset,CHARS_SANITIZED,
"36416266, 39470701",MOBIDB,mobidb,CAPITALIZED,https://mobidb.org/
34606616,HUARDB,huardb,CAPITALIZED,https://huarc.net/database
35388171,ECCDNA,eccdna,CAPITALIZED,http://www.eccdnadb.org
34634793,prokaryotes (lpsn),prokaryotes,DISAMBIGUATED,https://lpsn.dsmz.de
36453996,MIRDIP,mirdip,CAPITALIZED,https://ophid.utoronto.ca/mirDIP
34997301,REPAIR,repair,CAPITALIZED,
38297002,BREAST,breast,CAPITALIZED,
