ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,name_modification_flags
"34718743, 39470737",bacdive,0.0,,0.0,bacdive,0.0,2,https://bacdive.dsmz.de,,,,,,,,,,,,bacdive,
"36624665, 39535036",CANSAR,0.0,cansar,0.0,,0.0,2,https://cansar.ai,,,,,,,,,,,,cansar,CAPITALIZED
"34791375, 39535037",DISCO,0.0,disco,0.0,,0.0,2,https://www.immunesinglecell.org/,,,,,,,,,,,,disco,CAPITALIZED
"36300620, 37881892, 39417505",KEGG,0.0,kegg,0.0,,0.0,3,https://www.kegg.jp,,,,,,,,,,,,kegg,CAPITALIZED
"36408920, 39552041",uniprot,0.0,,0.0,uniprot,0.0,2,https://www.uniprot.org/,,,,,,,,,,,,uniprot,
39593035,genotes,0.99036914,,0.99036914,genotes,0.99036914,1,,,,,,,,,,,,,genotes,
35303059,microrna childhood cancer catalog,0.97285163,,0.97285163,microrna childhood cancer catalog,0.97285163,1,https://m3cs.shinyapps.io/M3Cs/,,,,,,,,,,,,microrna childhood cancer catalog,
37789571,cation-aromatic database,0.94468856,,0.94468856,cation-aromatic database,0.94468856,1,https://acds.neist.res.in/cadv2,,,,,,,,,,,,cation-aromatic database,
35891797,crispr-surfaceome,0.9071792,,0.9071792,crispr-surfaceome,0.9071792,1,https://crispr-surfaceome.siais.shanghaitech.edu.cn/home,,,,,,,,,,,,crispr-surfaceome,
39526387,scdrugact,0.9989001,,0.9989001,scdrugact,0.9989001,1,http://bio-bigdata.hrbmu.edu.cn/scDrugAct/,,,,,,,,,,,,scdrugact,
35886662,exe-muscle,0.9983098,,0.9983098,exe-muscle,0.9983098,1,,,,,,,,,,,,,exe-muscle,
39458265,probio-ichnos,0.99757767,,0.99757767,probio-ichnos,0.99757767,1,,,,,,,,,,,,,probio-ichnos,
37811871,m7ghub,0.99676806,m7ghub,0.99676806,,0.99676806,1,http://www.rnamd.org/m7GHub2,,,,,,,,,,,,m7ghub,
36040109,g-dirt,0.9966478,g-dirt,0.9966478,,0.9966478,1,http://webtools.nbpgr.ernet.in/gdirt/,,,,,,,,,,,,g-dirt,
35662469,openpip,0.99598205,,0.99598205,openpip,0.99598205,1,http://openpip.baderlab.org/,,,,,,,,,,,,openpip,
39366993,course-skill atlas,0.9954441,,0.9954441,course-skill atlas,0.9954441,1,,,,,,,,,,,,,course-skill atlas,
37549162,dysarthric expressed emotional database,0.99526817,,0.99526817,dysarthric expressed emotional database,0.99526817,1,,,,,,,,,,,,,dysarthric expressed emotional database,
36115858,world carbon pricing database,0.9949294,,0.9949294,world carbon pricing database,0.9949294,1,,,,,,,,,,,,,world carbon pricing database,
36161321,cell taxonomy,0.9946529,,0.9946529,cell taxonomy,0.9946529,1,https://ngdc.cncb.ac.cn/celltaxonomy,,,,,,,,,,,,cell taxonomy,
