ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,name_modification_flags,url_validation
"34718743, 39470737",bacdive,0.0,,0.0,bacdive,0.0,2,https://bacdive.dsmz.de,200,,,,,,,,,,,bacdive,,ok
"36624665, 39535036",CANSAR,0.0,cansar,0.0,,0.0,2,https://cansar.ai,200,,,,,,,,,,,cansar,CAPITALIZED,ok
"36300620, 37881892, 39417505",KEGG,0.0,kegg,0.0,,0.0,3,https://www.kegg.jp,200,,,,,,,,,,,kegg,CAPITALIZED,ok
"36408920, 39552041",uniprot,0.0,,0.0,uniprot,0.0,2,https://www.uniprot.org/,200,,,,,,,,,,,uniprot,,ok
35891797,crispr-surfaceome,0.9071792,,0.9071792,crispr-surfaceome,0.9071792,1,https://crispr-surfaceome.siais.shanghaitech.edu.cn/home,200,,,,,,,,,,,crispr-surfaceome,,ok
37811871,m7ghub,0.99676806,m7ghub,0.99676806,,0.99676806,1,http://www.rnamd.org/m7GHub2,200,,,,,,,,,,,m7ghub,,ok
36040109,g-dirt,0.9966478,g-dirt,0.9966478,,0.9966478,1,http://webtools.nbpgr.ernet.in/gdirt/,200,,,,,,,,,,,g-dirt,,ok
35662469,openpip,0.99598205,,0.99598205,openpip,0.99598205,1,http://openpip.baderlab.org/,200,,,,,,,,,,,openpip,,ok
36161321,cell taxonomy,0.9946529,,0.9946529,cell taxonomy,0.9946529,1,https://ngdc.cncb.ac.cn/celltaxonomy,200,,,,,,,,,,,cell taxonomy,,ok
35148171,genome nexus,0.99448127,,0.99448127,genome nexus,0.99448127,1,https://www.genomenexus.org,200,,,,,,,,,,,genome nexus,,ok
39475723,BAKREP,0.99031544,,0.99031544,bakrep,0.99031544,1,https://bakrep.computational.bio,200,,,,,,,,,,,bakrep,CAPITALIZED,ok
35348648,diseases,0.98903394,,0.98903394,diseases,0.98903394,1,https://diseases.jensenlab.org,200,,,,,,,,,,,diseases,,ok
38845051,reproductive chemical database,0.98803204,,0.98803204,reproductive chemical database,0.98803204,1,https://yu.life.sjtu.edu.cn/ChenLab/RCDB,200,,,,,,,,,,,reproductive chemical database,,ok
37749421,idlas-nl,0.9868391,,0.9868391,idlas-nl,0.9868391,1,http://www.mpi.nl/idlas-nl,200,,,,,,,,,,,idlas-nl,,ok
36755570,phagetailfinder,0.9864357,,0.9864357,phagetailfinder,0.9864357,1,http://www.microbiome-bigdata.com/PHISDetector/index/tools/PhageTailFinder,200,,,,,,,,,,,phagetailfinder,,ok
37169224,small molecule antiviral compound collection,0.9826298,,0.9826298,small molecule antiviral compound collection,0.9826298,1,https://smacc.mml.unc.edu,200,,,,,,,,,,,small molecule antiviral compound collection,,ok
35389344,protist.guru,0.9823803,,0.9823803,protist.guru,0.9823803,1,http://protist.guru/,200,,,,,,,,,,,protist.guru,,ok
39558185,plant metabolic network,0.9792689,,0.9792689,plant metabolic network,0.9792689,1,https://plantcyc.org,200,,,,,,,,,,,plant metabolic network,,ok
34648031,inxight drugs,0.9607316,,0.9607316,inxight drugs,0.9607316,1,https://drugs.ncats.io,200,,,,,,,,,,,inxight drugs,,ok
40179105,playbook workflow builder,0.9575088,,0.9575088,playbook workflow builder,0.9575088,1,https://playbook-workflow-builder.cloud/,200,,,,,,,,,,,playbook workflow builder,,ok
40996709,gene loss db,0.95452684,,0.95452684,gene loss db,0.95452684,1,https://geneloss.org/,200,,,,,,,,,,,gene loss db,,ok
37605747,curcumin chalcone derivatives database,0.9495553,,0.9495553,curcumin chalcone derivatives database,0.9495553,1,https://srampogu-ccdd-ccdd-8uldk8.streamlit.app/,200,,,,,,,,,,,curcumin chalcone derivatives database,,ok
39910485,SORFDB,0.941405,,0.941405,sorfdb,0.941405,1,https://sorfdb.computational.bio,200,,,,,,,,,,,sorfdb,CAPITALIZED,ok
38628370,kinase-associated neural phospho-signaling,0.94127434,,0.94127434,kinase-associated neural phospho-signaling,0.94127434,1,https://kanphos.jp,200,,,,,,,,,,,kinase-associated neural phospho-signaling,,ok
37183478,yeast mitochondrial posttranslational modification,0.9273263,,0.9273263,yeast mitochondrial posttranslational modification,0.9273263,1,http://compbio.fmph.uniba.sk/y-mtptm/,200,,,,,,,,,,,yeast mitochondrial posttranslational modification,,ok
36932341,mare-mage,0.92450774,,0.92450774,mare-mage,0.92450774,1,http://mare-mage.weebly.com/,200,,,,,,,,,,,mare-mage,,ok
40580317,circadian ontogenetic metabolomics atlas,0.9242804,,0.9242804,circadian ontogenetic metabolomics atlas,0.9242804,1,https://coma.metabolomics.fgu.cas.cz,200,,,,,,,,,,,circadian ontogenetic metabolomics atlas,,ok
38022697,EDAVE,0.9141477,edave,0.9141477,,0.9141477,1,https://edave.pum.edu.pl/,200,,,,,,,,,,,edave,CAPITALIZED,ok
39874782,goose multi-omics database,0.9072239,,0.9072239,goose multi-omics database,0.9072239,1,http://goosedb.com/,200,,,,,,,,,,,goose multi-omics database,,ok
38709877,ISOVIS,0.9063657,,0.9063657,isovis,0.9063657,1,https://isomix.org/isovis/,200,,,,,,,,,,,isovis,CAPITALIZED,ok
36318236,mhc motif atlas,0.9032981,,0.9032981,mhc motif atlas,0.9032981,1,http://mhcmotifatlas.org/,200,,,,,,,,,,,mhc motif atlas,,ok
35690280,exrnadisease,0.8973258,,0.8973258,exrnadisease,0.8973258,1,http://www.origin-gene.cn/database/exRNAdisease/,200,,,,,,,,,,,exrnadisease,,ok
36512929,OSADHI,0.8950489,osadhi,0.8950489,,0.8950489,1,https://neist.res.in/osadhi/,200,,,,,,,,,,,osadhi,CAPITALIZED,ok
38868205,sarcoma_cellminercdb,0.8832515,,0.8832515,sarcoma_cellminercdb,0.8832515,1,https://discover.nci.nih.gov/SarcomaCellMinerCDB,200,,,,,,,,,,,sarcoma_cellminercdb,,ok
"37716955, 37897355",a3d,0.86590374,a3d,0.86590374,,0.86590374,2,http://biocomp.chem.uw.edu.pl/A3D2/yeast,200,,,,,,,,,,,a3d,,ok
36209954,tumor-specific neoantigen database,0.8629695,,0.8629695,tumor-specific neoantigen database,0.8629695,1,https://pgx.zju.edu.cn/tsnadb/,200,,,,,,,,,,,tumor-specific neoantigen database,,ok
38917415,protein interaction explorer,0.8602503,,0.8602503,protein interaction explorer,0.8602503,1,https://ippidb.pasteur.fr/targetcentric/,200,,,,,,,,,,,protein interaction explorer,,ok
37216585,conserved unique peptide patterns,0.85037714,,0.85037714,conserved unique peptide patterns,0.85037714,1,https://cupp.info/,200,,,,,,,,,,,conserved unique peptide patterns,,ok
36698975,CUCUME,0.84332544,cucume,0.84332544,,0.84332544,1,http://cucume.cn/,200,,,,,,,,,,,cucume,CAPITALIZED,ok
36322519,global jukebox,0.8351905,,0.8351905,global jukebox,0.8351905,1,https://theglobaljukebox.org/?songsofearth,200,,,,,,,,,,,global jukebox,,ok
38444537,wolfberry genome database,0.79521847,,0.79521847,wolfberry genome database,0.79521847,1,https://cosbi7.ee.ncku.edu.tw/Wolfberry/,200,,,,,,,,,,,wolfberry genome database,,ok
38662570,CORDAX,0.78051543,cordax,0.78051543,,0.78051543,1,https://cordax.switchlab.org/,200,,,,,,,,,,,cordax,CAPITALIZED,ok
37294807,mash native,0.7468378,,0.7468378,mash native,0.7468378,1,https://labs.wisc.edu/gelab/MASH_Explorer/MASHSoftware.php,200,,,,,,,,,,,mash native,,ok
35857806,pocketome,0.7059669,,0.7059669,pocketome,0.7059669,1,https://eliot.moldiscovery.com,200,,,,,,,,,,,pocketome,,ok
36170113,MANE,0.6811143,mane,0.6811143,,0.6811143,1,https://texmst.ibms.sinica.edu.tw/,200,,,,,,,,,,,mane,CAPITALIZED,ok
36520398,microscope,0.6379231,,0.6379231,microscope,0.6379231,1,https://mage.genoscope.cns.fr/microscope,200,,,,,,,,,,,microscope,,ok
35134830,vivarium,0.5917026,,0.5917026,vivarium,0.5917026,1,https://vivarium-collective.github.io,200,,,,,,,,,,,vivarium,,review
39977983,atomevo-odor,0.99909943,,0.99909943,atomevo-odor,0.99909943,1,http://cslodordatabase.7fx.cn/,200,,,,,,,,,,,atomevo-odor,,ok
39407093,be-datahive,0.99819183,,0.99819183,be-datahive,0.99819183,1,https://be-datahive.com/,200,,,,,,,,,,,be-datahive,,ok
37646949,b-chrom,0.9973228,,0.9973228,b-chrom,0.9973228,1,http://www.bchrom.csic.es,200,,,,,,,,,,,b-chrom,,ok
38769057,REME,0.9955338,reme,0.9955338,,0.9955338,1,https://reme.biodesign.ac.cn/,200,,,,,,,,,,,reme,CAPITALIZED,ok
37713619,therapeutic target database,0.98831636,,0.98831636,therapeutic target database,0.98831636,1,https://idrblab.org/ttd/,200,,,,,,,,,,,therapeutic target database,,ok
40140766,methylmap,0.9855161,,0.9855161,methylmap,0.9855161,1,https://methylmap.bioinf.be,200,,,,,,,,,,,methylmap,,ok
40466944,readretro web,0.9844299,,0.9844299,readretro web,0.9844299,1,https://readretro.net,200,,,,,,,,,,,readretro web,,ok
39526369,MOTUS,0.9836894,motus,0.9836894,,0.9836894,1,https://motus-db.org,200,,,,,,,,,,,motus,CAPITALIZED,ok
37994706,pathdip 5,0.9775495,,0.9775495,pathdip 5,0.9775495,1,https://ophid.utoronto.ca/pathDIP,200,,,,,,,,,,,pathdip 5,,ok
