name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles,source_batch,qc_manual_review,qc_fix_applied,qc_confidence,qc_issue_category,was_merged
TITLE_CAPITALIZED,"23193264, 24259429, 29688360, 23193287, 25414350, 33196830",GenBank,0.9928722,,0.9928722,genbank,0.9928722,6,http://www.ncbi.nlm.nih.gov,200,United States,"(38.9807,-77.1003)",,2012-11-27,"National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, 45 Center Drive, Bethesda, MD 20892, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.","Benson DA, Cavanaugh M, Chlumsky L, Ciufo S, Clark K, Darji D, Karsch-Mizrachi I, Lipman DJ, Ostell J, Pruitt KD, Sayers EW, Schoch CL, Sharma S, Sherry ST, Starchenko E",,"Intramural NIH HHS, NLM NIH HHS, National Institutes of Health, National Library of Medicine",3033.0,United States,genbank,ok,Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | The NCBI BioCollections Database. | GenBank. | GenBank. | GenBank.,2010-2022,,,,,True
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH","22075998, 23193274, 23448259",UCSC,0.9988055,encode,0.9988055,,0.9988055,3,http://genome.ucsc.edu,200,United States,"(37.3541,-121.9552)",,2011-11-09,"Center for Biomolecular Science and Engineering, School of Engineering, University of California Santa Cruz, Santa Cruz, CA 95064, USA. kate@soe.ucsc.edu; Center for Biomolecular Science and Engineering, School of Engineering, University of California Santa Cruz (UCSC), Santa Cruz, CA 95064, USA. kate@soe.ucsc.edu; College of Arts and Sciences, Boise State University, Boise, ID, USA. jainabkhatun@boisestate.edu","Barber GP, Chen X, Clawson H, Cline MS, Diekhans M, Dreszer TR, Fang R, Fujita PA, Giddings MC, Goldman M, Gravell RC, Gunawardena HP, Harte RA, Haussler D, Heitner SG, Hinrichs AS, Karolchik D, Kent WJ, Khatun J, Kirkup VM, Kuhn RM, Learned K, Lee BT, Long JC, Maddren M, Malladi VS, Meyer LR, Pohl A, Raney BJ, Rhead B, Risk BA, Rosenbloom KR, Secrest A, Sloan CA, Spitzer WJ, Wang L, Wilder SP, Wong MC, Wrobel JA, Xie L, Yu Y, Zweig AS","095908, 1RC2HG005591, 3P41HG002371-10S1, 3P41HG002371-12S1, 3U41HG004568-03S1, 5P41HG002371-10, 5P41HG002371-12, 5U41HG004568-04, R01HG003700","Howard Hughes Medical Institute, NHGRI NIH HHS, Wellcome Trust",902.0,"Andorra, United States",encode,ok,ENCODE whole-genome data in the UCSC Genome Browser: update 2012. | ENCODE data in the UCSC Genome Browser: year 5 update. | Whole human genome proteogenomic mapping for ENCODE cell line data: identifying protein-coding regions.,2010-2022,,,,,True
CAPITALIZED,"27794045, 33211864, 30407557",FANTOM,0.9982592,fantom,0.9982592,,0.9982592,3,http://fantom.gsc.riken.jp,200,Japan,"(35.4333,139.6500)",,2016-10-27,"Division of Genomic Technologies (DGT), RIKEN Center for Life Science Technologie, 1-7-22 Suehiro-cho, Tsurumi-ku, Yokohama, Kanagawa 230-0045, Japan.; RIKEN Center for Integrative Medical Sciences, Yokohama, Kanagawa, Japan.; RIKEN Center for Integrative Medical Sciences, Yokohama, Kanagawa 230-0045, Japan.","Abugessaisa I, Agrawal S, Andersson R, Arenillas D, Bonetti A, Bono H, Cardon M, Carninci P, Drabløs F, Forrest AR, Gough J, Harshbarger J, Hasegawa A, Hashimoto K, Hayashizaki Y, Hon CC, Hori F, Ienasescu H, Ikeda S, Kasukawa T, Kato M, Kawaji H, Kobayashi N, Kondo A, Lennartsson A, Lizio M, Mathelier A, Medvedeva YA, Mungall C, Noguchi S, Oki S, Ono H, Ooi JLC, Rackham O, Ramilowski JA, Sandelin A, Severin J, Shin J, Tagami M, Yip CW, de Hoon M","015RP2019, 16H02902, 16K12529, BB/G022771/1, NNF10SA1016550, Q18305/Q19305, R82-2010-6779, S19058, U01 HG009453","Biotechnology and Biological Sciences Research Council, JSPS, Japan Society for the Promotion of Science, Lundbeck Foundation, MEXT, NHGRI NIH HHS, Novo Nordisk Fonden, RIKEN, RIKEN Center for Life Science Technology, ROIS-DS-JOINT 2019",330.0,Japan,fantom,ok,Update of the FANTOM web resource: high resolution transcriptome of diverse cell types in mammals. | FANTOM enters 20th year: expansion of transcriptomic atlases and functional annotation of non-coding RNAs. | Update of the FANTOM web resource: expansion to provide additional transcriptome atlases.,2010-2022,,,,,False
CAPITALIZED,"24265223, 24318814",EMAGE,0.9966444,emage,0.9966444,,0.9966444,2,http://www.emouseatlas.org/emage/,200,United Kingdom,"(55.9029,-3.5226)",,2013-11-21,"MRC Human Genetics Unit, Institute of Genetics and Molecular Medicine, University of Edinburgh, Western General Hospital EH4 2XU, UK.; MRC Human Genetics Unit, Institute of Genetics and Molecular Medicine, University of Edinburgh, Edinburgh, UK.","Armit C, Baldock RA, Burton N, Christiansen JH, Davidson DR, Graham L, Hill B, Moss J, Rao J, Richardson L, Stevenson P, Venkataraman S, Yang Y","095931, MC_PC_U127527203","Medical Research Council, Wellcome Trust",120.0,"Andorra, United Kingdom",emage,ok,EMAGE mouse embryo spatial gene expression database: 2014 update. | EMAGE: Electronic Mouse Atlas of Gene Expression.,2010-2022,,,,,False
TITLE_CAPITALIZED,"21752111, 33146890, 22688270",Human Protein Atlas,0.7722216,,0.7722216,human protein atlas,0.7722216,3,http://www.proteinatlas.org,200,Sweden,"(59.3600,18.0009)",,2011-08-03,"Department of Genetics and Pathology, Uppsala University, Uppsala, Sweden. Fredrik.ponten@igp.uu.se; Department of Immunology, Genetics and Pathology, Rudbeck Laboratory, Uppsala University, Uppsala, Sweden.; Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University, Sweden.","Asplund A, Digre A, Edqvist PH, Kampf C, Lindskog C, Olsson I, Pontén F, Ryberg U, Schwenk JM, Sjöstedt E",,Knut och Alice Wallenbergs Stiftelse,505.0,"Andorra, Sweden",human protein atlas,ok,"The Human Protein Atlas as a proteomic resource for biomarker discovery. | The Human Protein Atlas-Spatial localization of the human proteome in health and disease. | Production of tissue microarrays, immunohistochemistry staining and digitalization within the human protein atlas.",2010-2022,,,,,True
CAPITALIZED,"29023571, 33367505",PICKLE,0.99655414,pickle,0.99655414,,0.99655414,2,http://www.pickle.gr,200,Greece,"(38.2462,21.7351)",,2017-10-12,"Department of General Biology, School of Medicine, University of Patras, Patras, Greece.; Laboratory of General Biology, School of Medicine, University of Patras, Patras, Greece.","Dimitrakopoulos GN, Gioutlakis A, Klapa MI, Moschonas NK","613877 (STREPSYNTH), MIS 5002469, MIS 5002550, MIS 5002780, MIS 5028091, NSRF 2014-2020","Action for the Strategic Development on the Research and Technological Sector, Agriculture and Fisheries, Biotechnology, Competitiveness, EATRIS-GR, ELIXIR-GR, Entrepreneurship and Innovation, European Regional Development Fund, FORTH/ICE-HT, FP7 Food, Greece and EU, Greek NSRF 2014-2020 Operational Program, INSPIRED, Reinforcement of the Research and Innovation Infrastructure, Strategic Development on the Research and Technological Sector’, University of Patras Special Account for Research Funds",56.0,Greece,pickle,ok,PICKLE 2.0: A human protein-protein interaction meta-database employing data integration via genetic information ontology. | PICKLE 3.0: enriching the human meta-database with the mouse protein interactome extended via mouse-human orthology.,2010-2022,,,,,False
CAPITALIZED,"27899670, 30445434",GWAS,0.87147605,gwas,0.87147605,,0.87147605,2,http://www.ebi.ac.uk/gwas/,200,United Kingdom,"(51.8797,-0.4175)",,2016-11-29,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, UK.; European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK.","Amode R, Bowler E, Buniello A, Burdett T, Cerezo M, Cunningham F, Flicek P, Gil L, Guillen JA, Hall P, Harris LW, Hastings E, Hayhurst J, Hindorff L, Hindorff LA, Junkins H, MacArthur J, MacArthur JAL, Malangone C, McMahon A, Milano A, Morales J, Mountjoy E, Parkinson H, Pendlington ZM, Riat HS, Sollis E, Suveges D, Trevanion SJ, Vrousgou O, Welter D, Whetzel PL","U41 HG006104, U41 HG007823, U41-HG007823, U54 HG004028","NHGRI NIH HHS, National Institutes of Health, Wellcome Trust",4558.0,United Kingdom,gwas,ok,"The new NHGRI-EBI Catalog of published genome-wide association studies (GWAS Catalog). | The NHGRI-EBI GWAS Catalog of published genome-wide association studies, targeted arrays and summary statistics 2019.",2010-2022,,,,,False
CAPITALIZED,"23161693, 29140435",HMDB,0.9975249,hmdb,0.9975249,,0.9975249,2,http://www.hmdb.ca,200,Canada,"(45.3134,-73.8725)",,2012-11-17,"Department of Computing Science, University of Alberta, Edmonton, AB, Canada T6G 2E8. david.wishart@ualberta.ca; Department of Biological Sciences University of Alberta, Edmonton, AB T6G 2E9, Canada.","Allen F, Arndt D, Assempour N, Aziat F, Badran H, Berjanskii M, Bjorndahl T, Bouatra S, Djoumbou Y, Dong E, Eisner R, Feunang YD, Grant J, Greiner R, Guo AC, Jewison T, Johnson D, Karu N, Knox C, Li C, Liang K, Liang Y, Liu P, Liu Y, Lo E, Manach C, Mandal R, Marcu A, Neveu V, Perez-Pineiro R, Pon A, Sajed T, Sayeeda Z, Scalbert A, Serra-Cayuela A, Sinelnikov I, Singhal S, Vázquez-Fresno R, Wilson M, Wishart DS, Xia J, Yallou F",001,"Canadian Institutes of Health Research, World Health Organization",4405.0,Canada,hmdb,ok,HMDB 3.0--The Human Metabolome Database in 2013. | HMDB 4.0: the human metabolome database for 2018.,2010-2022,,,,,False
"CAPITALIZED,TITLE_CAPITALIZED","22013161, 24304894, 26673713, 30496479, 33219674",canSAR,0.9986829,cansar,0.9986829,,0.9986829,5,http://cansar.icr.ac.uk,200,United States,"(37.7621,-122.3971)",,2011-10-19,"Cancer Research UK Cancer Therapeutics Unit, Institute of Cancer Research, Haddow Laboratories, Belmont, Surrey SM2 5NG, UK.; Cancer Research UK Cancer Therapeutics Unit, The Institute of Cancer Research, London, SM2 5NG, UK.; Cancer Research UK Cancer Therapeutics Unit, The Institute of Cancer Research, London, SM2 5NG, UK.; Department of Data Science, The Institute of Cancer Research, London SM2 5NG, UK.; Department of Data Science, The Institute of Cancer Research, London SM2 5NG, UK.","Al-Lazikani B, Antolin AA, Bulusu KC, Campbell J, Che KH, Coker EA, Di Micco P, Dolciami D, Fernandez EV, Halling-Brown MD, Holt E, Kannas C, Komianou A, Mica IL, Mitsopoulos C, Ozer B, Patel M, Razaz P, Schierz AC, Tym JE, Villasclaras Fernandez E, Workman P","11566, 1237183, 204735/Z/16/Z, 23187, C309/A11566, C309/A25144, C309/A8274, C35696/A2318, C35696/A23187, WT204735/Z/16/Z, WT212969/Z/18/Z","CRUK Cancer Therapeutics Unit, Cancer Research UK, Henry Wellcome Research, ICR’s CRUK Cancer Therapeutic Unit, Medical Research Council, Sir Henry Wellcome, Wellcome Trust",280.0,United Kingdom,cansar,ok,canSAR: an integrated cancer public translational research and drug discovery resource. | canSAR: updated cancer research and drug discovery knowledgebase. | canSAR: an updated cancer research and drug discovery knowledgebase. | canSAR: update to the cancer translational research and drug discovery knowledgebase. | canSAR: update to the cancer translational research and drug discovery knowledgebase.,2010-2022,,,,,False
TITLE_CAPITALIZED,29069414,BioStudies,0.97973025,,0.97973025,biostudies,0.97973025,1,http://www.ebi.ac.uk/biostudies,200,United Kingdom,"(51.8797,-0.4175)",,2018-01-01,"European Molecular Biology Laboratory, European Bioinformatics Institute, EMBL-EBI, Wellcome Genome Campus, Hinxton CB10 1SD, UK.","Ali A, Athar A, Behrangi E, Brazma A, Gostev M, McEntyre J, Melnichuk O, Minguet J, Rada JC, Sarkans U, Snow C, Tikhonov A",,,152.0,United Kingdom,biostudies,ok,The BioStudies database-one stop shop for all data supporting a life sciences study.,2010-2022,,,,,False
TITLE_CAPITALIZED,29186578,Planteome,0.98996544,,0.98996544,planteome,0.98996544,1,http://www.planteome.org,200,United States,"(44.0582,-121.3153)",,2018-01-01,"Department of Botany and Plant Pathology, Oregon State University, Corvallis, OR 97331, USA.","Arnaud E, Carbon S, Cavaliere D, Cooper L, Doonan JH, Dunn NA, Elser JL, Gkoutos G, Jaiswal P, Laporte MA, Meier A, Mungall C, Preece J, Qu B, Sinn BT, Smith B, Stevenson DW, Todorovic S, Zhang E","BBS/E/W/0012843B, BBS/E/W/0012844A, BBS/E/W/10961A01, BBS/E/W/10962A01D, BBS/OS/GC/000011C, HDR-3003, U41 HG002273","Biotechnology and Biological Sciences Research Council, Medical Research Council, NHGRI NIH HHS",95.0,"Andorra, United States",planteome,ok,"The Planteome database: an integrated resource for reference ontologies, plant genomics and phenomics.",2010-2022,,,,,False
