inventory_idx,best_name,baseline_resource_name,normalized_url,baseline_normalized_url,match_type,confidence,extracted_url,baseline_url,baseline_resource_id,baseline_resource_full,is_gcbr,source_batch,paper_titles,real_match
1,UCSC,UCSC Genome Browser,genome.ucsc.edu,genome.ucsc.edu,URL_EXACT,0.95,http://genome.ucsc.edu,http://genome.ucsc.edu,8137,UCSC Genome Browser,1,2010-2022,ENCODE whole-genome data in the UCSC Genome Browser: update 2012. | ENCODE data in the UCSC Genome Browser: year 5 update. | Whole human genome proteogenomic mapping for ENCODE cell line data: identifying protein-coding regions.,
3,EMAGE,Electronic Mouse Atlas of Gene Expression,emouseatlas.org/emage,emouseatlas.org/emage,URL_EXACT,0.95,http://www.emouseatlas.org/emage/,http://www.emouseatlas.org/emage,7154,Electronic Mouse Atlas of Gene Expression,0,2010-2022,EMAGE mouse embryo spatial gene expression database: 2014 update. | EMAGE: Electronic Mouse Atlas of Gene Expression.,
12,GWAS,GWAS Catalog,ebi.ac.uk/gwas,ebi.ac.uk/gwas,URL_EXACT,0.95,http://www.ebi.ac.uk/gwas/,http://www.ebi.ac.uk/gwas,7248,,1,2010-2022,"The new NHGRI-EBI Catalog of published genome-wide association studies (GWAS Catalog). | The NHGRI-EBI GWAS Catalog of published genome-wide association studies, targeted arrays and summary statistics 2019.",
336,ZEAMAP,MaizeGDB,maizegdb.org,maizegdb.org,URL_EXACT,0.95,https://www.maizegdb.org/,http://www.maizegdb.org,7451,,0,2010-2022,"ZEAMAP, a Comprehensive Database Adapted to the Maize Multi-Omics Era.",
370,YeastMine,SGD,yeastgenome.org,yeastgenome.org,URL_EXACT,0.95,http://www.yeastgenome.org/,http://www.yeastgenome.org,7891,Saccharomyces Genome Database,1,2010-2022,YeastMine--an integrated data warehouse for Saccharomyces cerevisiae data as a multipurpose tool-kit.,
517,Human Virome Protein Cluster Database,MG-RAST,metagenomics.anl.gov,metagenomics.anl.gov,URL_EXACT,0.95,http://metagenomics.anl.gov/,http://metagenomics.anl.gov,5645,,0,2010-2022,The Human Virome Protein Cluster Database (HVPC): A Human Viral Metagenomic Database for Diversity and Function Annotation.,
537,The network of Shanghai Stroke Service System (4S),NCT,clinicaltrials.gov,clinicaltrials.gov,URL_EXACT,0.95,http://www.clinicaltrials.gov,https://clinicaltrials.gov,8385,National Clinical Trials Registry,0,2010-2022,The network of Shanghai Stroke Service System (4S): A public health-care web-based database using automatic extraction of electronic medical records.,
564,Minho Word Pool,ESCOLEX,p-pal.di.uminho.pt/about/databases,p-pal.di.uminho.pt/about/databases,URL_EXACT,0.95,http://p-pal.di.uminho.pt/about/databases,http://p-pal.di.uminho.pt/about/databases,5809,,0,2010-2022,"The Minho Word Pool: Norms for imageability, concreteness, and subjective frequency for 3,800 Portuguese words.",
577,cBio,cBioPortal,cbioportal.org,cbioportal.org,URL_EXACT,0.95,http://cbioportal.org,http://cbioportal.org,4426,,0,2010-2022,The cBio cancer genomics portal: an open platform for exploring multidimensional cancer genomics data.,
616,PLANiTS,ITS2,its2.bioapps.biozentrum.uni-wuerzburg.de,its2.bioapps.biozentrum.uni-wuerzburg.de,URL_EXACT,0.95,http://its2.bioapps.biozentrum.uni-wuerzburg.de/,http://its2.bioapps.biozentrum.uni-wuerzburg.de,5381,,0,2010-2022,PLANiTS: a curated sequence reference dataset for plant ITS DNA metabarcoding.,
731,Human Brain Atlas,Allen Brain Atlas,brain-map.org,brain-map.org,URL_EXACT,0.95,http://www.brain-map.org,http://www.brain-map.org,7123,,0,2010-2022,The Allen Human Brain Atlas: comprehensive gene expression mapping of the human brain.,
756,PHI-Nets,PHI-base,phi-base.org,phi-base.org,URL_EXACT,0.95,http://www.phi-base.org,http://www.phi-base.org,7739,Pathogen-Host Interactions database,0,2010-2022,PHI-Nets: A Network Resource for Ascomycete Fungal Pathogens to Annotate and Identify Putative Virulence Interacting Proteins and siRNA Targets.,
763,Methanogenic archaea database,PhyMet2,metanogen.biotech.uni.wroc.pl,metanogen.biotech.uni.wroc.pl,URL_EXACT,0.95,http://metanogen.biotech.uni.wroc.pl/,http://metanogen.biotech.uni.wroc.pl,5677,,0,2010-2022,Methanogenic archaea database containing physiological and biochemical characteristics.,
785,Human1,HMA,metabolicatlas.org,metabolicatlas.org,URL_EXACT,0.95,https://www.metabolicatlas.org/,http://www.metabolicatlas.org,7752,human metabolic atlas,0,2010-2022,An atlas of human metabolism.,
832,Konstanz,DSSTox,comptox.epa.gov/dashboard,comptox.epa.gov/dashboard,URL_EXACT,0.95,https://comptox.epa.gov/dashboard/,http://comptox.epa.gov/dashboard,4548,Distributed Structure-Searchable Toxicity Database,0,2010-2022,"""MS-Ready"" structures for non-targeted high-resolution mass spectrometry screening studies.",
841,Mnemiopsis Genome,MGP Portal,research.nhgri.nih.gov/mnemiopsis,research.nhgri.nih.gov/mnemiopsis,URL_EXACT,0.95,http://research.nhgri.nih.gov/mnemiopsis/,http://research.nhgri.nih.gov/mnemiopsis,6338,Mnemiopsis Genome Project Portal,0,2010-2022,A customized Web portal for the genome of the ctenophore Mnemiopsis leidyi.,
867,G Protein,GPCRdb,gpcrdb.org,gpcrdb.org,URL_EXACT,0.95,http://www.gpcrdb.org,http://gpcrdb.org,5300,,0,2010-2022,Structural Mapping of Adenosine Receptor Mutations: Ligand Binding and Signaling Mechanisms.,
1253,DO-KB,Disease Ontology,disease-ontology.org,disease-ontology.org,URL_EXACT,0.95,https://disease-ontology.org/,http://www.disease-ontology.org,7172,Human Disease Ontology Knowledgebase,1,2022-2025,The DO-KB Knowledgebase: a 20-year journey developing the disease open science ecosystem.,
1274,mVOC 4,mVOC,bioinformatics.charite.de/mvoc,bioinformatics.charite.de/mvoc,URL_EXACT,0.95,http://bioinformatics.charite.de/mvoc,http://bioinformatics.charite.de/mvoc,4230,,0,2022-2025,mVOC 4.0: a database of microbial volatiles.,
1328,tRFtarget 2.0,tRFtarget,trftarget.net,trftarget.net,URL_EXACT,0.95,http://trftarget.net/,http://trftarget.net,6791,,0,2022-2025,tRFtarget 2.0: expanding the targetome landscape of transfer RNA-derived fragments.,
1346,ASD2023,ASD,mdl.shsmu.edu.cn/asd,mdl.shsmu.edu.cn/asd,URL_EXACT,0.95,http://mdl.shsmu.edu.cn/ASD,http://mdl.shsmu.edu.cn/ASD,5705,The Allosteric Database,0,2022-2025,ASD2023: towards the integrating landscapes of allosteric knowledgebase.,
