name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,review_remove,paper_titles,best_name_updated,full_name_updated,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,source_batch,qc_manual_review,qc_fix_applied,qc_confidence,qc_issue_category,was_merged,confidence,notes,grep_remove
TITLE_CAPITALIZED,"27153631, 29186503",MINTbase,0.99879104,,0.99879104,mintbase,0.99879104,2,http://cm.jefferson.edu/MINTbase/,,MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments. | MINTbase v2.0: a comprehensive database for tRNA-derived fragments that includes nuclear and mitochondrial fragments from all The Cancer Genome Atlas projects.,MINTbase,MINTbase,200,United States,"(39.9487,-75.1593)",,2016-04-13,"Computational Medicine Center, Sidney Kimmel Medical College, Thomas Jefferson University, 1020 Locust Street, Philadelphia, PA 19107, USA.; Computational Medicine Center, Sidney Kimmel Medical College at Thomas Jefferson University, Jefferson Alumni Hall #M81, Thomas Jefferson University, 1020 Locust Street, Philadelphia, PA 19107, USA.","Kirino Y, Loher P, Londin E, Magee R, Pliatsika V, Rigoutsos I, Shigematsu M, Telonis AG","R01 GM106047, R21 AI130496","NIAID NIH HHS, NIGMS NIH HHS",255.0,United States,mintbase,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
CAPITALIZED,"22737589, 27899561, 30395293, 31602479, 24393765, 25398906, 26615191, 29140470, 33095870",NCBI,0.91916823,ncbi,0.91916823,,0.91916823,9,http://www.ncbi.nlm.nih.gov/,,Fungal genome resources at NCBI. | Database Resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | NCBI disease corpus: a resource for disease name recognition and concept normalization. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information.,NCBI,NCBI,200,United States,"(38.9807,-77.1003)",,2011-09-01,"National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Department of Health and Human Services, 45 Center Drive, Bethesda, MD 20892.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.","Agarwala R, Beck J, Bolton EE, Bourexis D, Brister JR, Canese K, Clark K, Comeau DC, Connor R, Doğan RI, Fiorini N, Funk K, Hefferon T, Holmes JB, Ketter A, Kim S, Kimchi A, Kitts PA, Klimke W, Kuznetsov A, Landrum M, Lathrop S, Leaman R, Lu Z, Madden TL, Marchler-Bauer A, McGarvey K, Murphy TD, O'Leary N, Ostell J, Phan L, Pruitt KD, Rangwala SH, Robbertse B, Sayers EW, Schneider VA, Schoch CL, Sherry ST, Skripchenko Y, Tatusova T, Thibaud-Nissen F, Trawick BW, Wang J, Ye J","Z99 CL999999, Z99 HL999999, Z99 LM999999, Z99 MH999999, ZIA LM091813","Intramural NIH HHS, NLM NIH HHS, National Institutes of Health",4291.0,"Andorra, United States",ncbi,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
CAPITALIZED,"24243843, 25636622, 33095861",DEG,0.99897647,deg,0.99897647,,0.99897647,3,http://www.essentialgene.org,,"DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements. | Gene essentiality analysis based on DEG 10, an updated database of essential genes. | DEG 15, an update of the Database of Essential Genes that includes built-in analysis tools.",DEG,DEG,200,United States,"(39.0997,-94.5786)",,2013-11-15,"Department of Physics, Tianjin University, Tianjin 300072, People's Republic of China and Center for Molecular Medicine and Genetics, School of Medicine, Wayne State University, Detroit 48201, USA.; Department of Physics, Tianjin University, Tianjin, 300072, China.; Department of Physics, School of Science, Tianjin University, Tianjin 300072, China.","Gao F, Lai FL, Lin Y, Liu T, Luo H, Zhang CT, Zhang R","2018YFA0903700, 31200991, 31571358, 31801104","National Key Research and Development Program of China, National Natural Science Foundation of China",563.0,"Andorra, China, United States",deg,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,"31239187, 33129577",pHLA3D,0.9984779,phla3d,0.9984779,,0.9984779,2,http://www.phla3d.com.br,,"pHLA3D: An online database of predicted three-dimensional structures of HLA molecules. | pHLA3D: Updating the database of predicted three-dimensional structures of HLA with HLA-DR, HLA-DQ and HLA-DP molecules.",pHLA3D,pHLA3D,200,United States,"(37.7621,-122.3971)",,2019-06-22,"Laboratory of Immunogenetics and Molecular Biology, Federal University of Piauí, Teresina, PI, Brazil.; Laboratory of Immunogenetics and Molecular Biology, Federal University of Piauí, Teresina, PI, Brazil.","Claudio Demes da Mata Sousa L, Coelho AGB, Costa JMS, Gilberto Borges Coelho A, Jamil Hadad do Monte S, Marroquim MSC, Martins Ramos R, Matheus Sousa Costa J, Melo Santos de Serpa Brandão R, Menezes Teles E Oliveira D, Miranda Pereira E, Ramos RM, Socorro da Silva A, Sérgio Coelho Marroquim M, Teles E Oliveira DM, Vanildo de Sousa Lima A, da Mata Sousa LCD, da Silva AS, das Chagas Alves Lima F, de Serpa Brandão RMS, de Sousa Lima AV, do Monte SJH",,Universidade Federal do Piauí,106.0,"Andorra, Brazil",phla3d,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,"30052798, 30052798",zfRegeneration,0.9963969,,0.9963969,zfregeneration,0.9963969,2,http://www.zfregeneration.org,,zfRegeneration: a database for gene expression profiling during regeneration. | zfRegeneration: a database for gene expression profiling during regeneration.,zfRegeneration,zfRegeneration,200,United Kingdom,"(51.5085,-0.1257)",,2019-02-01,"Independent Researcher, Boxbergring 107, Heidelberg, Germany.; Independent Researcher, Boxbergring 107, Heidelberg, Germany.","Nieto-Arellano R, Sánchez-Iranzo H",,,40.0,Germany,zfregeneration,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,"24271396, 30976793",EMBL-EBI,0.99455833,embl-ebi,0.99455833,,0.99455833,2,http://www.ebi.ac.uk,,The European Bioinformatics Institute's data resources 2014. | The EMBL-EBI search and sequence analysis tools APIs in 2019.,EMBL-EBI,EMBL-EBI,200,United Kingdom,"(51.8797,-0.4175)",,2013-11-23,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK.; European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK.","Apweiler R, Basutkar P, Bergman MT, Birney E, Brooksbank C, Buso N, Finn RD, Gur T, Lee J, Lopez R, Madeira F, Madhusoodanan N, Park YM, Potter SC, Thornton J, Tivey ARN",654039,"European Molecular Biology Laboratory, Wellcome Trust",3010.0,United Kingdom,embl-ebi,ok,2010-2022,,,,,True,HIGH,No expansion in title - using short name,
POPULATED_FROM_URL,"29067135, 30088220",braingraph.org ,0.0,,0.0,braingraph.org database,0.0,2,http://braingraph.org,,The braingraph.org database of high resolution structural connectomes and the brain graph tools. | Mapping correlations of psychological and structural connectome properties of the dataset of the human connectome project with the maximum spanning tree method.,braingraph.org,braingraph.org,200,France,"(48.9751,8.1785)",,2017-06-20,"PIT Bioinformatics Group, Eötvös University, Budapest, 1117 Hungary.; PIT Bioinformatics Group, Eötvös University, H-1117, Budapest, Hungary. szalkai@pitgroup.org.","Grolmusz V, Kerepesi C, Szalkai B, Varga B","LP2012-19/2012, NKFI-126472, U54 MH091657","Emberi Eroforrások Minisztériuma, Magyar Tudományos Akadémia, NIMH NIH HHS, Nemzeti Kutatási és Technológiai Hivatal",32.0,Hungary,,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
CAPITALIZED,36311809,CSCS,0.9984288,CSCSD,0.9984288,Chinese Spring Chromatin State Database,0.9984288,1,http://bioinfo.cemps.ac.cn/CSCS/,,CSCS: a chromatin state interface for Chinese Spring bread wheat.,CSCS,CSCS,200,China,"(31.2222,121.4581)",,2021-05-31,"National Key Laboratory of Plant Molecular Genetics, CAS Center for Excellence in Molecular Plant Sciences, Shanghai Institute of Plant Physiology and Ecology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, 300 Fenglin Road, Shanghai, 200032 China.","Ran X, Tang T, Wang M, Ye L, Zhang Y, Zhao F, Zhuang Y",,,2.0,"Andorra, China",cscs,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,31337975,SAROTUP,0.9967861,sarotup,0.9967861,,0.9967861,1,http://i.uestc.edu.cn/sarotup3,,SAROTUP: a suite of tools for finding potential target-unrelated peptides from phage display data.,SAROTUP,SAROTUP,200,China,"(30.6667,104.0667)",,2019-06-02,"School of Medicine, Guizhou University, Guiyang 550025, China.","Chen H, He B, Huang J, Li N",,,24.0,China,sarotup,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
TITLE_CAPITALIZED,27716338,OncoPaD,0.99898756,,0.99898756,oncopad,0.99898756,1,http://www.intogen.org/oncopad,,Rational design of cancer gene panels with OncoPaD.,OncoPaD,OncoPaD,200,Spain,"(41.3888,2.1590)",,2016-10-03,"Research Program on Biomedical Informatics, IMIM Hospital del Mar Medical Research Institute and Universitat Pompeu Fabra, Doctor Aiguader 88, 08003, Barcelona, Catalonia, Spain.","Deu-Pons J, Gonzalez-Perez A, Lopez-Bigas N, Rubio-Perez C, Tamborero D","RYC-2013-14554, SAF2012-36199","Departament d&apos;Innovació, Generalitat de Catalunya, Ministerio de Economía y Competitividad, Universitats i Empresa",2.0,"Andorra, Morocco, Spain",oncopad,ok,2010-2022,,,,,False,HIGH,No expansion in title - using short name,
