name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,review_remove,paper_titles,source_batch,qc_manual_review,qc_fix_applied,qc_confidence,qc_issue_category,was_merged,best_name_updated,full_name_updated,confidence,notes
TITLE_CAPITALIZED,"27153631, 29186503",MINTbase,0.99879104,,0.99879104,mintbase,0.99879104,2,http://cm.jefferson.edu/MINTbase/,200,United States,"(39.9487,-75.1593)",,2016-04-13,"Computational Medicine Center, Sidney Kimmel Medical College, Thomas Jefferson University, 1020 Locust Street, Philadelphia, PA 19107, USA.; Computational Medicine Center, Sidney Kimmel Medical College at Thomas Jefferson University, Jefferson Alumni Hall #M81, Thomas Jefferson University, 1020 Locust Street, Philadelphia, PA 19107, USA.","Kirino Y, Loher P, Londin E, Magee R, Pliatsika V, Rigoutsos I, Shigematsu M, Telonis AG","R01 GM106047, R21 AI130496","NIAID NIH HHS, NIGMS NIH HHS",255,United States,mintbase,ok,,MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments. | MINTbase v2.0: a comprehensive database for tRNA-derived fragments that includes nuclear and mitochondrial fragments from all The Cancer Genome Atlas projects.,2010-2022,,,,,False,MINTbase,MINTbase,HIGH,No expansion in title - using short name
CAPITALIZED,"22737589, 27899561, 30395293, 31602479, 24393765, 25398906, 26615191, 29140470, 33095870",NCBI,0.91916823,ncbi,0.91916823,,0.91916823,9,http://www.ncbi.nlm.nih.gov/,200,United States,"(38.9807,-77.1003)",,2011-09-01,"National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Department of Health and Human Services, 45 Center Drive, Bethesda, MD 20892.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.","Agarwala R, Beck J, Bolton EE, Bourexis D, Brister JR, Canese K, Clark K, Comeau DC, Connor R, Doğan RI, Fiorini N, Funk K, Hefferon T, Holmes JB, Ketter A, Kim S, Kimchi A, Kitts PA, Klimke W, Kuznetsov A, Landrum M, Lathrop S, Leaman R, Lu Z, Madden TL, Marchler-Bauer A, McGarvey K, Murphy TD, O'Leary N, Ostell J, Phan L, Pruitt KD, Rangwala SH, Robbertse B, Sayers EW, Schneider VA, Schoch CL, Sherry ST, Skripchenko Y, Tatusova T, Thibaud-Nissen F, Trawick BW, Wang J, Ye J","Z99 CL999999, Z99 HL999999, Z99 LM999999, Z99 MH999999, ZIA LM091813","Intramural NIH HHS, NLM NIH HHS, National Institutes of Health",4291,"Andorra, United States",ncbi,ok,,Fungal genome resources at NCBI. | Database Resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | NCBI disease corpus: a resource for disease name recognition and concept normalization. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information.,2010-2022,,,,,False,NCBI,NCBI,HIGH,No expansion in title - using short name
CAPITALIZED,"24243843, 25636622, 33095861",DEG,0.99897647,deg,0.99897647,,0.99897647,3,http://www.essentialgene.org,200,United States,"(39.0997,-94.5786)",,2013-11-15,"Department of Physics, Tianjin University, Tianjin 300072, People's Republic of China and Center for Molecular Medicine and Genetics, School of Medicine, Wayne State University, Detroit 48201, USA.; Department of Physics, Tianjin University, Tianjin, 300072, China.; Department of Physics, School of Science, Tianjin University, Tianjin 300072, China.","Gao F, Lai FL, Lin Y, Liu T, Luo H, Zhang CT, Zhang R","2018YFA0903700, 31200991, 31571358, 31801104","National Key Research and Development Program of China, National Natural Science Foundation of China",563,"Andorra, China, United States",deg,ok,,"DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements. | Gene essentiality analysis based on DEG 10, an updated database of essential genes. | DEG 15, an update of the Database of Essential Genes that includes built-in analysis tools.",2010-2022,,,,,False,DEG,DEG,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,"31239187, 33129577",pHLA3D,0.9984779,phla3d,0.9984779,,0.9984779,2,http://www.phla3d.com.br,200,United States,"(37.7621,-122.3971)",,2019-06-22,"Laboratory of Immunogenetics and Molecular Biology, Federal University of Piauí, Teresina, PI, Brazil.; Laboratory of Immunogenetics and Molecular Biology, Federal University of Piauí, Teresina, PI, Brazil.","Claudio Demes da Mata Sousa L, Coelho AGB, Costa JMS, Gilberto Borges Coelho A, Jamil Hadad do Monte S, Marroquim MSC, Martins Ramos R, Matheus Sousa Costa J, Melo Santos de Serpa Brandão R, Menezes Teles E Oliveira D, Miranda Pereira E, Ramos RM, Socorro da Silva A, Sérgio Coelho Marroquim M, Teles E Oliveira DM, Vanildo de Sousa Lima A, da Mata Sousa LCD, da Silva AS, das Chagas Alves Lima F, de Serpa Brandão RMS, de Sousa Lima AV, do Monte SJH",,Universidade Federal do Piauí,106,"Andorra, Brazil",phla3d,ok,,"pHLA3D: An online database of predicted three-dimensional structures of HLA molecules. | pHLA3D: Updating the database of predicted three-dimensional structures of HLA with HLA-DR, HLA-DQ and HLA-DP molecules.",2010-2022,,,,,False,pHLA3D,pHLA3D,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,"30052798, 30052798",zfRegeneration,0.9963969,,0.9963969,zfregeneration,0.9963969,2,http://www.zfregeneration.org,200,United Kingdom,"(51.5085,-0.1257)",,2019-02-01,"Independent Researcher, Boxbergring 107, Heidelberg, Germany.; Independent Researcher, Boxbergring 107, Heidelberg, Germany.","Nieto-Arellano R, Sánchez-Iranzo H",,,40,Germany,zfregeneration,ok,,zfRegeneration: a database for gene expression profiling during regeneration. | zfRegeneration: a database for gene expression profiling during regeneration.,2010-2022,,,,,False,zfRegeneration,zfRegeneration,HIGH,No expansion in title - using short name
TITLE_CAPITALIZED,"24271396, 30976793",EMBL-EBI,0.99455833,embl-ebi,0.99455833,,0.99455833,2,http://www.ebi.ac.uk,200,United Kingdom,"(51.8797,-0.4175)",,2013-11-23,"European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK.; European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK.","Apweiler R, Basutkar P, Bergman MT, Birney E, Brooksbank C, Buso N, Finn RD, Gur T, Lee J, Lopez R, Madeira F, Madhusoodanan N, Park YM, Potter SC, Thornton J, Tivey ARN",654039,"European Molecular Biology Laboratory, Wellcome Trust",3010,United Kingdom,embl-ebi,ok,,The European Bioinformatics Institute's data resources 2014. | The EMBL-EBI search and sequence analysis tools APIs in 2019.,2010-2022,,,,,True,EMBL-EBI,EMBL-EBI,HIGH,No expansion in title - using short name
"DISAMBIGUATED,SMART_CAPITALIZED,QC_FIX_HIGH","24574175, 25159016, 26227301, 25407602, 26351202",LC-MS,0.6883858,,0.6883858,proteomexchange,0.6883858,5,http://proteomecentral.proteomexchange.org/dataset/PXD000363,200,United States,"(47.6062,-122.3321)",,2014-05-01,"Department of Molecular Biology and Immunology, University of North Texas Health Science Center, Fort Worth, TX, USA.; Departments of Biomedical Sciences, Medical Research Center, Seoul National University College of Medicine, Seoul, Korea; Biomedical Engineering, Medical Research Center, Seoul National University College of Medicine, Seoul, Korea; Institute of Medical & Biological Engineering, Medical Research Center, Seoul National University College of Medicine, Seoul, Korea.; Donnelly Centre for Cellular and Biomolecular Research, University of Toronto, Toronto, ON, Canada.; Biozentrum, University of Basel, Basel, Switzerland; Laboratory of Systems Biology and Genetics, Institute of Bioengineering, School of Life Sciences, Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland.; Department of Clinical and Experimental Medicine, Cell Biology, Faculty of Medicine and Health Sciences, Linköping University, Linköping, Sweden.","Ahrné E, Apraiz I, Campos A, Cristobal S, Deplancke B, Domonkos I, Emili A, Foltz K, Garcia-Vedrenne AE, Gombos Z, Guo H, Hamelin R, Han D, Isserlin R, Jin J, Kim K, Kim Y, Kis M, Kuzmanov U, Lugowski A, Ma H, Miao Y, Moniatte M, Morada A, Prokai L, Simicevic J, Sun A, Talamantes T, Ughy B, Wan C, Yu J, da Fonseca RR","#10045352, 00007370, 2011-0030740, BK-0031, OTKA K82052, TAMOP 4.2.2.A-11/1/KONV-2012-0047","European Union Seventh Framework Program, Industrial Strategic Technology Development Program, Korea), Korean government [MISP], Marie Curie International Reintegration, Ministry of Knowledge Economy (MKE, National Research Foundation of Korea, Ontario Research Fund, Swiss National Science Foundation, Villum Fonden, Welch Foundation",62,"Andorra, Canada, Sweden, Switzerland, United States",proteomexchange,ok,1,"Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803. | Integrated approach using multistep enzyme digestion, TiO2 enrichment, and database search for in-depth phosphoproteomic profiling. | Phosphoproteomic network analysis in the sea urchin Strongylocentrotus purpuratus reveals new candidates in egg activation. | A mammalian transcription factor-specific peptide repository for targeted proteomics. | Shotgun analysis of the marine mussel Mytilus edulis hemolymph proteome and mapping the innate immunity elements.",2010-2022,,,,,False,LC-MS,LC-MS,HIGH,No expansion in title - using short name
POPULATED_FROM_URL,"29067135, 30088220",braingraph.org ,0,,0,braingraph.org database,0,2,http://braingraph.org,200,France,"(48.9751,8.1785)",,2017-06-20,"PIT Bioinformatics Group, Eötvös University, Budapest, 1117 Hungary.; PIT Bioinformatics Group, Eötvös University, H-1117, Budapest, Hungary. szalkai@pitgroup.org.","Grolmusz V, Kerepesi C, Szalkai B, Varga B","LP2012-19/2012, NKFI-126472, U54 MH091657","Emberi Eroforrások Minisztériuma, Magyar Tudományos Akadémia, NIMH NIH HHS, Nemzeti Kutatási és Technológiai Hivatal",32,Hungary,,ok,,The braingraph.org database of high resolution structural connectomes and the brain graph tools. | Mapping correlations of psychological and structural connectome properties of the dataset of the human connectome project with the maximum spanning tree method.,2010-2022,,,,,False,braingraph.org,braingraph.org,HIGH,No expansion in title - using short name
CAPITALIZED,36311809,CSCS,0.9984288,CSCSD,0.9984288,Chinese Spring Chromatin State Database,0.9984288,1,http://bioinfo.cemps.ac.cn/CSCS/,200,China,"(31.2222,121.4581)",,2021-05-31,"National Key Laboratory of Plant Molecular Genetics, CAS Center for Excellence in Molecular Plant Sciences, Shanghai Institute of Plant Physiology and Ecology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, 300 Fenglin Road, Shanghai, 200032 China.","Ran X, Tang T, Wang M, Ye L, Zhang Y, Zhao F, Zhuang Y",,,2,"Andorra, China",cscs,ok,,CSCS: a chromatin state interface for Chinese Spring bread wheat.,2010-2022,,,,,False,CSCS,CSCS,HIGH,No expansion in title - using short name
"CAPITALIZED,TITLE_CAPITALIZED",34147079,ORFik,0.99716794,orfik,0.99716794,,0.99716794,1,http://bioconductor.org/packages/ORFik,200,United Kingdom,"(51.5085,-0.1257)",,2021-06-19,"Computational Biology Unit, Department of Informatics, University of Bergen, Bergen, Norway.","Chyżyńska K, Labun K, Tjeldnes H, Torres Cleuren Y, Valen E, Świrski M","250049, TEAM POIR.04.04.00-00-5C33/17-00","Bergens Forskningsstiftelse, European Regional Development Fund, Norges Forskningsråd",33,Norway,orfik,ok,1,ORFik: a comprehensive R toolkit for the analysis of translation.,2010-2022,,,,,False,ORFik,ORFik,HIGH,No expansion in title - using short name
