name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles
CAPITALIZED,"27261064, 27987171, 29069403",PLAZA,0.9987439,plaza,0.9987439,,0.9987439,3,http://bioinformatics.psb.ugent.be/plaza/versions/plaza_v3_dicots/,404,,,http://web.archive.org/web/20250806000642/https://bioinformatics.psb.ugent.be/plaza/versions/plaza_v3_dicots/,2016-06-03,"Department of Plant Systems Biology, Vlaams Instituut voor Biotechnologie, B-9052 Ghent, Belgium (J.V.d.V., M.V.B., D.V., K.V.); andDepartment of Plant Biotechnology and Bioinformatics, Ghent University, B-9052 Ghent, Belgium (J.V.d.V., M.V.B., D.V., K.V.).; Department of Plant Systems Biology, VIB, Technologiepark 927, 9052, Ghent, Belgium. klaas.vandepoele@psb.vib-ugent.be.; Department of Plant Biotechnology and Bioinformatics, Ghent University, 9052 Ghent, Belgium.","Botzki A, Coppens F, Diels T, Kreft L, Van Bel M, Van de Peer Y, Van de Velde J, Vancaester E, Vandepoele K, Vaneechoutte D",,,361.0,"Andorra, Belgium",plaza,ok,"A Collection of Conserved Noncoding Sequences to Study Gene Regulation in Flowering Plants. | A Guide to the PLAZA 3.0 Plant Comparative Genomic Database. | PLAZA 4.0: an integrative resource for functional, evolutionary and comparative plant genomics."
TITLE_CAPITALIZED,"23193264, 24259429, 29688360, 23193287, 25414350, 33196830",GenBank,0.9928722,,0.9928722,genbank,0.9928722,6,http://www.ncbi.nlm.nih.gov,200,United States,"(38.9807,-77.1003)",,2012-11-27,"National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, 45 Center Drive, Bethesda, MD 20892, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.","Benson DA, Cavanaugh M, Chlumsky L, Ciufo S, Clark K, Darji D, Karsch-Mizrachi I, Lipman DJ, Ostell J, Pruitt KD, Sayers EW, Schoch CL, Sharma S, Sherry ST, Starchenko E",,"Intramural NIH HHS, NLM NIH HHS, National Institutes of Health, National Library of Medicine",3033.0,United States,genbank,ok,Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | The NCBI BioCollections Database. | GenBank. | GenBank. | GenBank.
"CAPITALIZED,DISAMBIGUATED,QC_FIX_HIGH","22075998, 23193274, 23448259",ENCODE,0.9988055,encode,0.9988055,,0.9988055,3,http://genome.ucsc.edu,200,United States,"(37.3541,-121.9552)",,2011-11-09,"Center for Biomolecular Science and Engineering, School of Engineering, University of California Santa Cruz, Santa Cruz, CA 95064, USA. kate@soe.ucsc.edu; Center for Biomolecular Science and Engineering, School of Engineering, University of California Santa Cruz (UCSC), Santa Cruz, CA 95064, USA. kate@soe.ucsc.edu; College of Arts and Sciences, Boise State University, Boise, ID, USA. jainabkhatun@boisestate.edu","Barber GP, Chen X, Clawson H, Cline MS, Diekhans M, Dreszer TR, Fang R, Fujita PA, Giddings MC, Goldman M, Gravell RC, Gunawardena HP, Harte RA, Haussler D, Heitner SG, Hinrichs AS, Karolchik D, Kent WJ, Khatun J, Kirkup VM, Kuhn RM, Learned K, Lee BT, Long JC, Maddren M, Malladi VS, Meyer LR, Pohl A, Raney BJ, Rhead B, Risk BA, Rosenbloom KR, Secrest A, Sloan CA, Spitzer WJ, Wang L, Wilder SP, Wong MC, Wrobel JA, Xie L, Yu Y, Zweig AS","095908, 1RC2HG005591, 3P41HG002371-10S1, 3P41HG002371-12S1, 3U41HG004568-03S1, 5P41HG002371-10, 5P41HG002371-12, 5U41HG004568-04, R01HG003700","Howard Hughes Medical Institute, NHGRI NIH HHS, Wellcome Trust",902.0,"Andorra, United States",encode,ok,ENCODE whole-genome data in the UCSC Genome Browser: update 2012. | ENCODE data in the UCSC Genome Browser: year 5 update. | Whole human genome proteogenomic mapping for ENCODE cell line data: identifying protein-coding regions.
CAPITALIZED,"27794045, 33211864, 30407557",FANTOM,0.9982592,fantom,0.9982592,,0.9982592,3,http://fantom.gsc.riken.jp,200,Japan,"(35.4333,139.6500)",,2016-10-27,"Division of Genomic Technologies (DGT), RIKEN Center for Life Science Technologie, 1-7-22 Suehiro-cho, Tsurumi-ku, Yokohama, Kanagawa 230-0045, Japan.; RIKEN Center for Integrative Medical Sciences, Yokohama, Kanagawa, Japan.; RIKEN Center for Integrative Medical Sciences, Yokohama, Kanagawa 230-0045, Japan.","Abugessaisa I, Agrawal S, Andersson R, Arenillas D, Bonetti A, Bono H, Cardon M, Carninci P, Drabløs F, Forrest AR, Gough J, Harshbarger J, Hasegawa A, Hashimoto K, Hayashizaki Y, Hon CC, Hori F, Ienasescu H, Ikeda S, Kasukawa T, Kato M, Kawaji H, Kobayashi N, Kondo A, Lennartsson A, Lizio M, Mathelier A, Medvedeva YA, Mungall C, Noguchi S, Oki S, Ono H, Ooi JLC, Rackham O, Ramilowski JA, Sandelin A, Severin J, Shin J, Tagami M, Yip CW, de Hoon M","015RP2019, 16H02902, 16K12529, BB/G022771/1, NNF10SA1016550, Q18305/Q19305, R82-2010-6779, S19058, U01 HG009453","Biotechnology and Biological Sciences Research Council, JSPS, Japan Society for the Promotion of Science, Lundbeck Foundation, MEXT, NHGRI NIH HHS, Novo Nordisk Fonden, RIKEN, RIKEN Center for Life Science Technology, ROIS-DS-JOINT 2019",330.0,Japan,fantom,ok,Update of the FANTOM web resource: high resolution transcriptome of diverse cell types in mammals. | FANTOM enters 20th year: expansion of transcriptomic atlases and functional annotation of non-coding RNAs. | Update of the FANTOM web resource: expansion to provide additional transcriptome atlases.
"PIPE_CLEANED,CAPITALIZED","22086951, 23155063, 25428374, 26590259, 24227676, 26740527, 29106570, 30407534, 31691824",DBNSFP,0.78192204,dbnsfp | encode,0.78192204,ucsc genome browser,0.78192204,9,http://genome.ucsc.edu,200,United States,"(37.3541,-121.9552)",,2011-11-15,"Center for Biomolecular Science and Engineering, School of Engineering, University of California Santa Cruz, Santa Cruz, CA 95064, USA.; Center for Biomolecular Science and Engineering, School of Engineering, University of California Santa Cruz (UCSC), Santa Cruz, CA 95064, USA.; Center for Biomolecular Science and Engineering, CBSE, UC Santa Cruz, 1156 High Street, Santa Cruz, CA 95064, USA kate@soe.ucsc.edu.; Genomics Institute, University of California Santa Cruz, Santa Cruz, CA 95064, USA mspeir@soe.ucsc.edu.; Center for Biomolecular Science and Engineering, School of Engineering, University of California Santa Cruz, Santa Cruz, CA 95064, USA and Department of Genetics, Center for Genome Sciences and Systems Biology, Washington University School of Medicine, St. Louis, MO 63108, USA.; Genomics Institute, University of California, Santa Cruz, CA, USA.; Genomics Institute, University of California Santa Cruz, Santa Cruz, CA 95064, USA.; Genomics Institute, University of California Santa Cruz, Santa Cruz, CA 95064, USA.; Genomics Institute, University of California Santa Cruz, Santa Cruz, CA 95064, USA.","Armstrong J, Barber GP, Casper J, Clawson H, Cline MS, Diekhans M, Dreszer TR, Eisenhart C, Fiddes IT, Fujita PA, Giardine BM, Gibson D, Goldman M, Gonzalez JN, Guruvadoo L, Haeussler M, Harte RA, Haussler D, Heitner S, Hickey G, Hinrichs AS, Hsu F, Hubley R, James Kent W, Karolchik D, Kent WJ, Kirkup V, Kuhn RM, Learned K, Lee BT, Lee CM, Li CH, Malladi VS, Meyer LR, Miga KH, Nassar LR, Navarro Gonzalez J, Nejad P, Nguyen N, Paten B, Pohl A, Powell CC, Raney BJ, Rhead B, Roe G, Rosenbloom KR, Schmelter D, Sloan CA, Smit AF, Speir ML, Tyner C, Villarreal C, Wang T, Wong M, Zweig AS","090100, 1U01MH114825, 1U24CA180951, 1U41HG006992, 2017-171519, 2018-182809, 2018-194093, 427053, 4U41HG002371, 5R25HG006836, 5U01DE020057, 5U01MH114825, 5U19AI089987, 5U24CA143858, 5U24CA180951, 5U41HG002371, 5U41HG006992, 5U41HG007234, 5U4HG002371, 5U54HG007990, CBJCHBCAABAA-nBGXMxFrE0WG7VvHOtm8RAzv674WMNt, GC1R-06673-C, P01 HG005062, P01HG5062, P41 HG002371, P41HG002371, R01 HG002939, R01 HG007354, R01HG007354, RC2 HD064525, RC2HD064525, U01 DE020057, U01 ES017154, U01 HG004695, U01 MH114825, U01DE20057, U01ES017154, U01HG004695, U41 HG002371, U41 HG004269, U41 HG004568, U41 HG006992, U41 HG007234, U41HG004269, U41HG004568, U54 HG004555, U54 HG007990, U54HG004555","California Institute for Regenerative Medicine, Howard Hughes Medical Institute, NCI NIH HHS, NHGRI NIH HHS, NIAID NIH HHS, NICHD NIH HHS, NIDCR NIH HHS, NIEHS NIH HHS, NIMH NIH HHS, National Human Genome Research Institute, National Institutes of Health, Regeneron, Silicon Valley Community Foundation, St. Baldricks Foundation, St. Baldrick’s Foundation",3539.0,"Andorra, United States",dbnsfp | encode,ok,The UCSC Genome Browser database: extensions and updates 2011. | The UCSC Genome Browser database: extensions and updates 2013. | The UCSC Genome Browser database: 2015 update. | The UCSC Genome Browser database: 2016 update. | Track data hubs enable visualization of user-defined genome-wide annotations on the UCSC Genome Browser. | UCSC Data Integrator and Variant Annotation Integrator. | The UCSC Genome Browser database: 2018 update. | The UCSC Genome Browser database: 2019 update. | UCSC Genome Browser enters 20th year.
CAPITALIZED,"24265223, 24318814",EMAGE,0.9966444,emage,0.9966444,,0.9966444,2,http://www.emouseatlas.org/emage/,200,United Kingdom,"(55.9029,-3.5226)",,2013-11-21,"MRC Human Genetics Unit, Institute of Genetics and Molecular Medicine, University of Edinburgh, Western General Hospital EH4 2XU, UK.; MRC Human Genetics Unit, Institute of Genetics and Molecular Medicine, University of Edinburgh, Edinburgh, UK.","Armit C, Baldock RA, Burton N, Christiansen JH, Davidson DR, Graham L, Hill B, Moss J, Rao J, Richardson L, Stevenson P, Venkataraman S, Yang Y","095931, MC_PC_U127527203","Medical Research Council, Wellcome Trust",120.0,"Andorra, United Kingdom",emage,ok,EMAGE mouse embryo spatial gene expression database: 2014 update. | EMAGE: Electronic Mouse Atlas of Gene Expression.
TITLE_CAPITALIZED,"21752111, 33146890, 22688270",Human Protein Atlas,0.7722216,,0.7722216,human protein atlas,0.7722216,3,http://www.proteinatlas.org,200,Sweden,"(59.3600,18.0009)",,2011-08-03,"Department of Genetics and Pathology, Uppsala University, Uppsala, Sweden. Fredrik.ponten@igp.uu.se; Department of Immunology, Genetics and Pathology, Rudbeck Laboratory, Uppsala University, Uppsala, Sweden.; Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University, Sweden.","Asplund A, Digre A, Edqvist PH, Kampf C, Lindskog C, Olsson I, Pontén F, Ryberg U, Schwenk JM, Sjöstedt E",,Knut och Alice Wallenbergs Stiftelse,505.0,"Andorra, Sweden",human protein atlas,ok,"The Human Protein Atlas as a proteomic resource for biomarker discovery. | The Human Protein Atlas-Spatial localization of the human proteome in health and disease. | Production of tissue microarrays, immunohistochemistry staining and digitalization within the human protein atlas."
TITLE_CAPITALIZED,"27153631, 29186503",MINTbase,0.99879104,,0.99879104,mintbase,0.99879104,2,http://cm.jefferson.edu/MINTbase/,200,United States,"(39.9487,-75.1593)",,2016-04-13,"Computational Medicine Center, Sidney Kimmel Medical College, Thomas Jefferson University, 1020 Locust Street, Philadelphia, PA 19107, USA.; Computational Medicine Center, Sidney Kimmel Medical College at Thomas Jefferson University, Jefferson Alumni Hall #M81, Thomas Jefferson University, 1020 Locust Street, Philadelphia, PA 19107, USA.","Kirino Y, Loher P, Londin E, Magee R, Pliatsika V, Rigoutsos I, Shigematsu M, Telonis AG","R01 GM106047, R21 AI130496","NIAID NIH HHS, NIGMS NIH HHS",255.0,United States,mintbase,ok,MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments. | MINTbase v2.0: a comprehensive database for tRNA-derived fragments that includes nuclear and mitochondrial fragments from all The Cancer Genome Atlas projects.
CAPITALIZED,"22737589, 27899561, 30395293, 31602479, 24393765, 25398906, 26615191, 29140470, 33095870",NCBI,0.91916823,ncbi,0.91916823,,0.91916823,9,http://www.ncbi.nlm.nih.gov/,200,United States,"(38.9807,-77.1003)",,2011-09-01,"National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Department of Health and Human Services, 45 Center Drive, Bethesda, MD 20892.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Bethesda, MD 20894, USA.; National Center for Biotechnology Information, National Library of Medicine, National Institutes of Health, Building 38A, 8600 Rockville Pike, Bethesda, MD 20894, USA.","Agarwala R, Beck J, Bolton EE, Bourexis D, Brister JR, Canese K, Clark K, Comeau DC, Connor R, Doğan RI, Fiorini N, Funk K, Hefferon T, Holmes JB, Ketter A, Kim S, Kimchi A, Kitts PA, Klimke W, Kuznetsov A, Landrum M, Lathrop S, Leaman R, Lu Z, Madden TL, Marchler-Bauer A, McGarvey K, Murphy TD, O'Leary N, Ostell J, Phan L, Pruitt KD, Rangwala SH, Robbertse B, Sayers EW, Schneider VA, Schoch CL, Sherry ST, Skripchenko Y, Tatusova T, Thibaud-Nissen F, Trawick BW, Wang J, Ye J","Z99 CL999999, Z99 HL999999, Z99 LM999999, Z99 MH999999, ZIA LM091813","Intramural NIH HHS, NLM NIH HHS, National Institutes of Health",4291.0,"Andorra, United States",ncbi,ok,Fungal genome resources at NCBI. | Database Resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | NCBI disease corpus: a resource for disease name recognition and concept normalization. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information. | Database resources of the National Center for Biotechnology Information.
CAPITALIZED,"24243843, 25636622, 33095861",DEG,0.99897647,deg,0.99897647,,0.99897647,3,http://www.essentialgene.org,200,United States,"(39.0997,-94.5786)",,2013-11-15,"Department of Physics, Tianjin University, Tianjin 300072, People's Republic of China and Center for Molecular Medicine and Genetics, School of Medicine, Wayne State University, Detroit 48201, USA.; Department of Physics, Tianjin University, Tianjin, 300072, China.; Department of Physics, School of Science, Tianjin University, Tianjin 300072, China.","Gao F, Lai FL, Lin Y, Liu T, Luo H, Zhang CT, Zhang R","2018YFA0903700, 31200991, 31571358, 31801104","National Key Research and Development Program of China, National Natural Science Foundation of China",563.0,"Andorra, China, United States",deg,ok,"DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements. | Gene essentiality analysis based on DEG 10, an updated database of essential genes. | DEG 15, an update of the Database of Essential Genes that includes built-in analysis tools."
