pmid,current_best_name,issue_category,evidence_from_title,evidence_from_url,best_common,best_full,suggested_name,confidence,notes
27303626,GEO (placentalendocrinology),HAS_BRACKETS,A curated transcriptome dataset collection to investigate the development and differentiation of the,domain:placentalendocrinology.gxbsidra | path:dm3/landing.gsp,geo,gene expression omnibus,geo,HIGH,Using best_common as alternative
33858332,TCGA (manticore),HAS_BRACKETS,Predicting tumor response to drugs based on gene-expression biomarkers of sensitivity learned from c,domain:manticore.niehs.nih | path:cancerRxTissue,tcga,the cancer genome atlas,tcga,HIGH,Using best_common as alternative
30783007,PDB (ifr48),HAS_BRACKETS,"An Integrative Database of β-Lactamase Enzymes: Sequences, Structures, Functions, and Phylogenetic T",domain:ifr48.timone.univ-mrs | path:beta-lactamase/public,pdb,,pdb,HIGH,Using best_common as alternative
28195585,GBIF (science),HAS_BRACKETS,The French Muséum national d'histoire naturelle vascular plant herbarium collection dataset.,domain:science.mnhn | path:institution/mnhn/collection,gbif,,gbif,HIGH,Using best_common as alternative
34323935,Prokaryotes (toolkit),HAS_BRACKETS,An astonishing wealth of new proteasome homologs.,domain:toolkit.tuebingen.mpg,,prokaryotes,prokaryotes,MEDIUM,Using best_full as alternative
26040196,Prokaryotes (mlsa),HAS_BRACKETS,A database for the taxonomic and phylogenetic identification of the genus Bradyrhizobium using multi,domain:mlsa.cnpso.embrapa.br,,prokaryotes,prokaryotes,MEDIUM,Using best_full as alternative
23192551,Genbank (hiv),HAS_BRACKETS,Viral genome analysis and knowledge management.,domain:hiv.lanl,,genbank,genbank,MEDIUM,Using best_full as alternative
22080509,Genbank (webapps2),HAS_BRACKETS,Database for bacterial group II introns.,domain:webapps2.ucalgary.ca | path:~groupii/index.html,,genbank,genbank,MEDIUM,Using best_full as alternative
28934507,GEO (134),HAS_BRACKETS,"A comprehensive, cell specific microRNA catalogue of human peripheral blood.",domain:134.245.63.235 | path:ikmb-tools/bloodmiRs,geo,,geo,HIGH,Using best_common as alternative
33166149,Proteomexchange (massive),"HAS_BRACKETS,WRONG_EXTRACTION",uppercase:HUPO,domain:massive.ucsd,,proteomexchange,proteomexchange,MEDIUM,Using best_full as alternative
32284610,Prokaryotes (meltomeatlas),HAS_BRACKETS,Meltome atlas-thermal proteome stability across the tree of life.,domain:meltomeatlas.proteomics.wzw.tum.de:5003,,prokaryotes,prokaryotes,MEDIUM,Using best_full as alternative
29605928,CHEBI,WRONG_EXTRACTION,uppercase:EMBL-EBI,domain:ebi.ac | path:complexportal,chebi,uniprotkb | rnacentral,chebi,HIGH,Using best_common as alternative
24234439,CHEMBL,WRONG_EXTRACTION,"uppercase:IUPHAR,BPS,PHARMACOLOGY",domain:guidetopharmacology,chembl,drugbank | ensembl | pubchem | uniprot,chembl,HIGH,Using best_common as alternative
24792157,STRING,WRONG_EXTRACTION,uppercase:SIB,domain:isb-sib.ch,string,uniprotkb,string,HIGH,Using best_common as alternative
25977788,Uniprotkb,WRONG_EXTRACTION,uppercase:SWATH-MS,domain:openswath,,uniprotkb | proteomexchange,uniprotkb | proteomexchange,MEDIUM,Using best_full as alternative
"22970177, 28776320, 32003691, 34969046",NCT00931216,WRONG_EXTRACTION,"uppercase:HIV,NMS,HIV",domain:clinicaltrials | path:ct2/show/NCT00931216,,,HIV,MEDIUM,Extracted from title (uppercase)
"26132000, 28578176, 33905618",Phenxtoolkit,WRONG_EXTRACTION,uppercase:COVID-19,domain:phenxtoolkit,,,COVID-19,MEDIUM,Extracted from title (uppercase)
26968569,IR_spectra,WRONG_EXTRACTION,uppercase:ATR-FT-IR,domain:tera.chem.ut.ee | path:IR_spectra,,,ATR-FT-IR,MEDIUM,Extracted from title (uppercase)
32572450,DRAFC,WRONG_EXTRACTION,uppercase:AFC,domain:biosino | path:drafc,,,AFC,MEDIUM,Extracted from title (uppercase)
30999846,Melanoma (khaos),"HAS_BRACKETS,WRONG_EXTRACTION",uppercase:VIGLA-M,domain:khaos.uma.es | path:melanoma,,,VIGLA-M,MEDIUM,KNOWN_ISSUE: Melanoma (khaos) - title says VIGLA-M; Extracted from title (uppercase)
34048576,Covid19dataportal,WRONG_EXTRACTION,"uppercase:COVID-19,SARS-,COVID-19",domain:covid19dataportal,,,COVID-19,MEDIUM,Extracted from title (uppercase)
