pmid,old_name,new_name,confidence,category,action
"22075998, 23193274, 23448259",ENCODE (genome),ENCODE,HIGH,HAS_BRACKETS,FIXED
"21948793, 26578601, 29140520",Therapeutic Target Database (bidd),Therapeutic Target Database,HIGH,HAS_BRACKETS,FIXED
"25685613, 27899642",CSC (genome),UCSC,HIGH,HAS_BRACKETS,FIXED
"24574175, 25159016, 26227301, 25407602, 26351202",Proteomexchange (proteomecentral),LC-MS,HIGH,HAS_BRACKETS,FIXED
32477412,EQTL (asan),EQTL,HIGH,HAS_BRACKETS,FIXED
22718978,ice,JBEI-ICE,HIGH,SHORT_LOWERCASE,FIXED
27794551,HIPPIE (cbdm),HIPPIE,HIGH,HAS_BRACKETS,FIXED
26228432,OCDB (alpha),OCDB,HIGH,HAS_BRACKETS,FIXED
30553813,Cellminercdb (discover),Cellminercdb,HIGH,HAS_BRACKETS,FIXED
33988716,EDGAR (edgar3),EDGAR3.0,HIGH,HAS_BRACKETS,FIXED
22776072,DMD (edystrophin),DMD,HIGH,HAS_BRACKETS,FIXED
26602693,TCGA (bioinformatics),TCGA,HIGH,HAS_BRACKETS,FIXED
22348130,HIPPIE (cbdm),HIPPIE,HIGH,HAS_BRACKETS,FIXED
24517501,Snpchimp (bioinformatics),Snpchimp,HIGH,HAS_BRACKETS,FIXED
23866767,acutrials(R),Acutrials®,HIGH,HAS_BRACKETS,FIXED
25881165,Snpchimp (bioinformatics),Snpchimp (bioinformatics),HIGH,HAS_BRACKETS,FIXED
33408850,DB,<i>Vf</i>ODB,MEDIUM,VERY_SHORT,FIXED
24243849,P(3)db,P,HIGH,HAS_BRACKETS,FIXED
25516408,Mitimpact (bioinformatics),Mitimpact (bioinformatics),HIGH,HAS_BRACKETS,FIXED
33172432,ophthatome(TM),ophthatome,HIGH,HAS_BRACKETS,FIXED
26087378,Schizconnect (central),Schizconnect (central),HIGH,HAS_BRACKETS,FIXED
29561219,4s,The network of Shanghai Stroke Service System (4S),MEDIUM,VERY_SHORT,FIXED
33590862,org,org,LOW,SHORT_LOWERCASE,FIXED
27899667,SEEK (snp-seek),Rice SNP,MEDIUM,HAS_BRACKETS,FIXED
29122012,TO,Drug,MEDIUM,VERY_SHORT,FIXED
25392408,Genomics (genome-cancer),The UCSC Cancer Genomics Browser,MEDIUM,HAS_BRACKETS,FIXED
"27899567, 30395331",GO,Expansion,MEDIUM,VERY_SHORT,FIXED
25428369,GO,Gene Ontology Consortium,MEDIUM,VERY_SHORT,FIXED
33008298,Database (pgl),Database,MEDIUM,HAS_BRACKETS,FIXED
25990738,3dgb,3dgb,LOW,SHORT_LOWERCASE,FIXED
23721660,IM,IM,LOW,VERY_SHORT,FIXED
23748957,CSC (sysbio),The UCSC Interaction Browser,MEDIUM,HAS_BRACKETS,FIXED
31100356,ase,Integrating Culture,MEDIUM,SHORT_LOWERCASE,FIXED
27863463,EQ,The ChIP,MEDIUM,VERY_SHORT,FIXED
34788390,RNA (plantcircrna),RNA (plantcircrna),LOW,HAS_BRACKETS,FIXED
29363422,Transcriptome (matsui-lab),Construction,MEDIUM,HAS_BRACKETS,FIXED
24767513,t4.0,Medicago,MEDIUM,SHORT_LOWERCASE,FIXED
31776723,AX,The JAX Synteny Browser,MEDIUM,VERY_SHORT,FIXED
29982559,Database (nksingh),Oryza,MEDIUM,HAS_BRACKETS,FIXED
28185543,tlas,An Atlas,MEDIUM,SHORT_LOWERCASE,FIXED
24271392,PORTAL (networks),Network,MEDIUM,HAS_BRACKETS,FIXED
29040688,Proteome (iomics),Tabloid Proteome,MEDIUM,HAS_BRACKETS,FIXED
24265219,Target Database (bidd),Therapeutic,MEDIUM,HAS_BRACKETS,FIXED
29527288,GXB (breastcancer),GXB (breastcancer),LOW,HAS_BRACKETS,FIXED
31290545,GXB (ige),GXB (ige),LOW,HAS_BRACKETS,FIXED
28413616,GXB (ivf),GXB (ivf),LOW,HAS_BRACKETS,FIXED
"27158451, 27158452",GXB (monocyte),GXB (monocyte),LOW,HAS_BRACKETS,FIXED
31559014,GXB (pid),GXB (pid),LOW,HAS_BRACKETS,FIXED
31711193,COSMIC (cr10),CR10,MEDIUM,HAS_BRACKETS,FIXED
28180281,Mirbase (wwwdev),Large,MEDIUM,HAS_BRACKETS,FIXED
23874379,Saccharomyces Genome Database (cobi),Saccharomyces Genome Database (cobi),LOW,HAS_BRACKETS,FIXED
31942161,SIBBR (ipt),Harvestmen,MEDIUM,HAS_BRACKETS,FIXED
28859252,ZENODO (bluebox),Open,MEDIUM,HAS_BRACKETS,FIXED
33555347,BR,DNA G,MEDIUM,VERY_SHORT,FIXED
30846902,ZENODO (trivellone),Hemiptera,MEDIUM,HAS_BRACKETS,FIXED
32941026,PX,Covalent Interactions Atlas Benchmark Data Sets,MEDIUM,VERY_SHORT,FIXED
27134731,GEO (hiv),gene expression omnibus,HIGH,HAS_BRACKETS,FIXED
33068406,COSMIC (score),Project Score,MEDIUM,HAS_BRACKETS,FIXED
