id,url,entity_long,entity_short,domain,is_live,status_code,total_score,base_score,title_bonus,likelihood,indicators_found,response_time_ms,error_message,meta_redirects,final_url,wayback_used,wayback_url,wayback_snapshot_date
36823331,https://outbreak.info/,outbreak.info,,outbreak.info,True,200.0,4,4,0,LOW,Content: query; Title: data,224.51,,0,https://outbreak.info/,False,,
37001506,http://entex.encodeproject.org/,,en-tex,entex.encodeproject.org,True,200.0,19,19,0,CRITICAL,Content: genome; Content: variant; Content: resource; Content: tool; Content: search; Content: download; Content: annotation; Content: data; Content: portal,256.72,,0,http://entex.encodeproject.org/,False,,
40536267,https://www.refine.bio/,,refine,www.refine.bio,True,200.0,36,36,0,CRITICAL,Content: EBI; Content: genome; Content: gene; Content: biological; Content: expression; Content: repository; Content: collection; Content: resource; Content: search; Content: query; Content: download; Content: submit; Content: curated; Content: data; Content: portal,257.97,,0,https://www.refine.bio/,False,,
34718735,https://flyatlas.gla.ac.uk/FlyAtlas2/index.html,flyatlas 2,,flyatlas.gla.ac.uk,True,200.0,21,21,0,CRITICAL,Content: NCBI; Content: genome; Title: gene; Title: expression; Content: search; Content: annotation; Content: data; Content: database,352.36,,0,https://flyatlas.gla.ac.uk/FlyAtlas2/index.html,False,,
37646950,https://www.plantrdnadatabase.com/,plant rdna database,,www.plantrdnadatabase.com,True,200.0,30,25,5,CRITICAL,Content: genome; Content: gene; Content: sequence; Content: molecular; Content: resource; Content: tool; Content: search; Content: query; Content: submit; Title: data; Title: database; ★ TITLE BONUS: 'database' in page title,514.09,,0,https://www.plantrdnadatabase.com/,False,,
38995537,https://unicarb-db.expasy.org/,unicarb-db,,unicarb-db.expasy.org,True,200.0,42,42,0,CRITICAL,Content: NCBI; Content: NIH; Content: bioinformatics; Content: gene; Content: protein; Content: biological; Content: repository; Content: collection; Content: resource; Content: tool; Content: platform; Content: search; Content: query; Content: download; Content: data; Content: database; Content: portal,349.6,,0,https://unicarb-db.expasy.org/,False,,
40548747,https://rvdb.dbi.udel.edu/,,rvdb,rvdb.dbi.udel.edu,True,200.0,43,38,5,CRITICAL,Content: NCBI; Content: NIH; Content: bioinformatics; Content: gene; Content: sequence; Content: archive; Content: collection; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: annotation; Title: data; Title: database; ★ TITLE BONUS: 'database' in page title,653.9,,0,https://rvdb.dbi.udel.edu/,False,,
40314147,https://www.flyrnai.org/tools/tf2tg/web/,,tf2tg,www.flyrnai.org,True,200.0,36,36,0,CRITICAL,Content: NCBI; Content: NIH; Content: genomics; Content: gene; Content: sequence; Content: expression; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: submit; Content: data,819.67,,0,https://www.flyrnai.org/tools/tf2tg/web/,False,,
35612078,https://www.i2b2.org,,i2b2,www.i2b2.org,True,200.0,11,11,0,HIGH,Content: resource; Content: platform; Content: search; Content: submit; Content: data; Content: portal,425.07,,0,https://www.i2b2.org/,False,,
37459490,http://www.cancer-genetics.org/VHL.htm,,vhl,www.cancer-genetics.org,True,200.0,65,65,0,CRITICAL,Content: NCBI; Content: EBI; Content: NIH; Content: Ensembl; Content: genomics; Content: genome; Title: gene; Content: protein; Content: sequence; Content: molecular; Content: biological; Content: variant; Content: mutation; Content: expression; Content: repository; Content: collection; Content: search; Content: query; Content: submit; Content: curated; Content: data; Content: database,389.48,,0,http://www.cancer-genetics.org/VHL.htm,False,,
