name_modification_flags,ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,url_validation,paper_titles
SMART_CAPITALIZED,37646950,Plant Rdna Database,0.0,,0.0,plant rdna database,0.0,1,https://www.plantrdnadatabase.com/,200,,,,,,,,,,,plant rdna database,ok,
SMART_CAPITALIZED,37001506,En-tex,0.99911237,en-tex,0.99911237,,0.99911237,1,http://entex.encodeproject.org/,200,,,,,,,,,,,en-tex,ok,
SMART_CAPITALIZED,40314147,Tf2tg,0.99699277,tf2tg,0.99699277,,0.99699277,1,https://www.flyrnai.org/tools/tf2tg/web/,200,,,,,,,,,,,tf2tg,ok,
CAPITALIZED,40536267,REFINE,0.9955148,refine,0.9955148,,0.9955148,1,https://www.refine.bio/,200,,,,,,,,,,,refine,ok,
CAPITALIZED,40548747,RVDB,0.99429363,rvdb,0.99429363,,0.99429363,1,https://rvdb.dbi.udel.edu/,200,,,,,,,,,,,rvdb,ok,
SMART_CAPITALIZED,34718735,Flyatlas 2,0.9857147,,0.9857147,flyatlas 2,0.9857147,1,https://flyatlas.gla.ac.uk/FlyAtlas2/index.html,200,,,,,,,,,,,flyatlas 2,ok,
SMART_CAPITALIZED,36823331,Outbreak.info,0.9818318,,0.9818318,outbreak.info,0.9818318,1,https://outbreak.info/,200,,,,,,,,,,,outbreak.info,ok,
SMART_CAPITALIZED,35131258,Allosteric Database,0.9777709,,0.9777709,allosteric database,0.9777709,1,https://mdl.shsmu.edu.cn/ASD/,200,,,,,,,,,,,allosteric database,ok,
SMART_CAPITALIZED,38995537,Unicarb-db,0.9734289,,0.9734289,unicarb-db,0.9734289,1,https://unicarb-db.expasy.org/,200,,,,,,,,,,,unicarb-db,ok,
CAPITALIZED,34864908,RCSB,0.89457923,rcsb,0.89457923,,0.89457923,1,https://www.rcsb.org/,200,,,,,,,,,,,rcsb,ok,
CAPITALIZED,37459490,VHL,0.64228594,vhl,0.64228594,,0.64228594,1,http://www.cancer-genetics.org/VHL.htm,200,,,,,,,,,,,vhl,ok,
SMART_CAPITALIZED,35612078,I2b2,0.5841747,i2b2,0.5841747,,0.5841747,1,https://www.i2b2.org,200,,,,,,,,,,,i2b2,ok,
CAPITALIZED,35325185,DAVID,0.0,david,0.0,,0.0,1,https://davidbioinformatics.nih.gov,200,,,,,,,,,,,david,ok,
SMART_CAPITALIZED,38688470,National Sleep Research Resource,0.0,,0.0,national sleep research resource,0.0,1,https://sleepdata.org,200,,,,,,,,,,,national sleep research resource,ok,
SMART_CAPITALIZED,36002623,Peekbank,0.0,,0.0,peekbank,0.0,1,https://peekbank.stanford.edu,200,,,,,,,,,,,peekbank,ok,
SMART_CAPITALIZED,40033715,Proceed,0.0,proceed,0.0,phenotypic rates of change evolutionary and ecological database,0.0,1,https://proceeddatabase.weebly.com,200,,,,,,,,,,,proceed,ok,
SMART_CAPITALIZED,35037202,Gramene,0.0,,0.0,gramene,0.0,1,https://www.gramene.org,200,,,,,,,,,,,gramene,ok,
SMART_CAPITALIZED,35612084,Snomed Ct,0.0,snomed ct,0.0,,0.0,1,https://www.snomed.org,200,,,,,,,,,,,snomed ct,ok,
CAPITALIZED,36318248,REBASE,0.0,rebase,0.0,,0.0,1,https://rebase.neb.com/rebase/rebase.html,200,,,,,,,,,,,rebase,ok,
SMART_CAPITALIZED,40219973,Plantpan,0.0,,0.0,plantpan,0.0,1,http://PlantPAN.itps.ncku.edu.tw,200,,,,,,,,,,,plantpan,ok,
SMART_CAPITALIZED,37091248,Fishget,0.0,,0.0,fishget,0.0,1,http://bioinfo.ihb.ac.cn/fishget,200,,,,,,,,,,,fishget,ok,
SMART_CAPITALIZED,37258747,Human Gut Cell Atlas,0.0,,0.0,human gut cell atlas,0.0,1,https://www.gutcellatlas.org,200,,,,,,,,,,,human gut cell atlas,ok,
SMART_CAPITALIZED,38521211,Dw-allen,0.0,dw-allen,0.0,dw-allen atlas,0.0,1,https://portal.brain-map.org/,200,,,,,,,,,,,dw-allen,ok,
SMART_CAPITALIZED,39996130,Neurodegenerative Disease Knowledge Portal,0.0,,0.0,neurodegenerative disease knowledge portal,0.0,1,https://ndkp.hugeamp.org/,200,,,,,,,,,,,neurodegenerative disease knowledge portal,ok,
