ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,name_modification_flags
39379619,o-glcnac database,0.9332913,,0.9332913,o-glcnac database,0.9332913,1,https://www.oglcnac.mcw.edu/,,,,,,,,,,,,o-glcnac database,
37646950,plant rdna database,0.0,,0.0,plant rdna database,0.0,1,https://www.plantrdnadatabase.com/,,,,,,,,,,,,plant rdna database,
37001506,en-tex,0.99911237,en-tex,0.99911237,,0.99911237,1,http://entex.encodeproject.org/,,,,,,,,,,,,en-tex,
40314147,tf2tg,0.99699277,tf2tg,0.99699277,,0.99699277,1,https://www.flyrnai.org/tools/tf2tg/web/,,,,,,,,,,,,tf2tg,
35175626,PAZY,0.99679667,pazy,0.99679667,,0.99679667,1,https://www.pazy.eu/,,,,,,,,,,,,pazy,CAPITALIZED
40536267,REFINE,0.9955148,refine,0.9955148,,0.9955148,1,https://www.refine.bio/,,,,,,,,,,,,refine,CAPITALIZED
35931779,i-tasser-mtd,0.99470854,i-tasser-mtd,0.99470854,,0.99470854,1,https://seq2fun.dcmb.med.umich.edu/I-TASSER-MTD/,,,,,,,,,,,,i-tasser-mtd,
40548747,RVDB,0.99429363,rvdb,0.99429363,,0.99429363,1,https://rvdb.dbi.udel.edu/,,,,,,,,,,,,rvdb,CAPITALIZED
34718735,flyatlas 2,0.9857147,,0.9857147,flyatlas 2,0.9857147,1,https://flyatlas.gla.ac.uk/FlyAtlas2/index.html,,,,,,,,,,,,flyatlas 2,
36823331,outbreak.info,0.9818318,,0.9818318,outbreak.info,0.9818318,1,https://outbreak.info/,,,,,,,,,,,,outbreak.info,
35131258,allosteric database,0.9777709,,0.9777709,allosteric database,0.9777709,1,https://mdl.shsmu.edu.cn/ASD/,,,,,,,,,,,,allosteric database,
38995537,unicarb-db,0.9734289,,0.9734289,unicarb-db,0.9734289,1,https://unicarb-db.expasy.org/,,,,,,,,,,,,unicarb-db,
