ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,name_modification_flags,url_validation
37646950,plant rdna database,0.0,,0.0,plant rdna database,0.0,1,https://www.plantrdnadatabase.com/,200,,,,,,,,,,,plant rdna database,,ok
37001506,en-tex,0.99911237,en-tex,0.99911237,,0.99911237,1,http://entex.encodeproject.org/,200,,,,,,,,,,,en-tex,,ok
40314147,tf2tg,0.99699277,tf2tg,0.99699277,,0.99699277,1,https://www.flyrnai.org/tools/tf2tg/web/,200,,,,,,,,,,,tf2tg,,ok
40536267,REFINE,0.9955148,refine,0.9955148,,0.9955148,1,https://www.refine.bio/,200,,,,,,,,,,,refine,CAPITALIZED,ok
40548747,RVDB,0.99429363,rvdb,0.99429363,,0.99429363,1,https://rvdb.dbi.udel.edu/,200,,,,,,,,,,,rvdb,CAPITALIZED,ok
34718735,flyatlas 2,0.9857147,,0.9857147,flyatlas 2,0.9857147,1,https://flyatlas.gla.ac.uk/FlyAtlas2/index.html,200,,,,,,,,,,,flyatlas 2,,ok
36823331,outbreak.info,0.9818318,,0.9818318,outbreak.info,0.9818318,1,https://outbreak.info/,200,,,,,,,,,,,outbreak.info,,ok
35131258,allosteric database,0.9777709,,0.9777709,allosteric database,0.9777709,1,https://mdl.shsmu.edu.cn/ASD/,200,,,,,,,,,,,allosteric database,,ok
38995537,unicarb-db,0.9734289,,0.9734289,unicarb-db,0.9734289,1,https://unicarb-db.expasy.org/,200,,,,,,,,,,,unicarb-db,,ok
34864908,RCSB,0.89457923,rcsb,0.89457923,,0.89457923,1,https://www.rcsb.org/,200,,,,,,,,,,,rcsb,CAPITALIZED,ok
37459490,VHL,0.64228594,vhl,0.64228594,,0.64228594,1,http://www.cancer-genetics.org/VHL.htm,200,,,,,,,,,,,vhl,CAPITALIZED,ok
35612078,i2b2,0.5841747,i2b2,0.5841747,,0.5841747,1,https://www.i2b2.org,200,,,,,,,,,,,i2b2,,ok
35325185,DAVID,0.0,david,0.0,,0.0,1,https://davidbioinformatics.nih.gov,200,,,,,,,,,,,david,CAPITALIZED,ok
38688470,national sleep research resource,0.0,,0.0,national sleep research resource,0.0,1,https://sleepdata.org,200,,,,,,,,,,,national sleep research resource,,ok
36002623,peekbank,0.0,,0.0,peekbank,0.0,1,https://peekbank.stanford.edu,200,,,,,,,,,,,peekbank,,ok
40033715,proceed,0.0,proceed,0.0,phenotypic rates of change evolutionary and ecological database,0.0,1,https://proceeddatabase.weebly.com,200,,,,,,,,,,,proceed,,ok
35037202,gramene,0.0,,0.0,gramene,0.0,1,https://www.gramene.org,200,,,,,,,,,,,gramene,,ok
35612084,snomed ct,0.0,snomed ct,0.0,,0.0,1,https://www.snomed.org,200,,,,,,,,,,,snomed ct,,ok
36318248,REBASE,0.0,rebase,0.0,,0.0,1,https://rebase.neb.com/rebase/rebase.html,200,,,,,,,,,,,rebase,CAPITALIZED,ok
40219973,plantpan,0.0,,0.0,plantpan,0.0,1,http://PlantPAN.itps.ncku.edu.tw,200,,,,,,,,,,,plantpan,,ok
37091248,fishget,0.0,,0.0,fishget,0.0,1,http://bioinfo.ihb.ac.cn/fishget,200,,,,,,,,,,,fishget,,ok
37258747,human gut cell atlas,0.0,,0.0,human gut cell atlas,0.0,1,https://www.gutcellatlas.org,200,,,,,,,,,,,human gut cell atlas,,ok
38521211,dw-allen,0.0,dw-allen,0.0,dw-allen atlas,0.0,1,https://portal.brain-map.org/,200,,,,,,,,,,,dw-allen,,ok
39996130,neurodegenerative disease knowledge portal,0.0,,0.0,neurodegenerative disease knowledge portal,0.0,1,https://ndkp.hugeamp.org/,200,,,,,,,,,,,neurodegenerative disease knowledge portal,,ok
35900309,fluorophore labeling of proteins,0.0,,0.0,fluorophore labeling of proteins,0.0,1,https://www.fpbase.org/,200,,,,,,,,,,,fluorophore labeling of proteins,,ok
35507258,IMEX,0.0,imex,0.0,,0.0,1,https://www.imexconsortium.org/,200,,,,,,,,,,,imex,CAPITALIZED,ok
38702300,era5,0.0,era5,0.0,,0.0,1,https://cds.climate.copernicus.eu/,200,,,,,,,,,,,era5,,ok
35524130,pathoyeastract,0.0,,0.0,pathoyeastract,0.0,1,http://pathoyeastract.org,200,,,,,,,,,,,pathoyeastract,,ok
38769143,MZMINE,0.0,mzmine,0.0,,0.0,1,http://mzmine.github.io/,200,,,,,,,,,,,mzmine,CAPITALIZED,review
35394655,crystal structure database,0.0,,0.0,crystal structure database,0.0,1,https://www.ccdc.cam.ac.uk/,200,,,,,,,,,,,crystal structure database,,ok
36967676,MMHCDB,0.0,mmhcdb,0.0,mouse models of human cancer database,0.0,1,http://tumor.informatics.jax.org/,200,,,,,,,,,,,mmhcdb,CAPITALIZED,ok
34674164,biodare2,0.0,,0.0,biodare2,0.0,1,https://biodare2.ed.ac.uk/,200,,,,,,,,,,,biodare2,,ok
39442633,carotenoids,0.0,,0.0,carotenoids,0.0,1,http://carotenoiddb.jp/,200,,,,,,,,,,,carotenoids,,ok
36575445,NETACT,0.0,netact,0.0,,0.0,1,https://github.com/lusystemsbio/NetAct,200,,,,,,,,,,,netact,CAPITALIZED,review
38787331,protein adsorption on solid surfaces,0.0,,0.0,protein adsorption on solid surfaces,0.0,1,https://bionanoinfo.com/bad/,200,,,,,,,,,,,protein adsorption on solid surfaces,,ok
34904611,KRAS,0.0,,0.0,kras</i,0.0,1,http://cancer.sanger.ac.uk/cosmic,200,,,,,,,,,,,kras</i,"HTML_REMOVED,CAPITALIZED",ok
37493333,breast cancer proteome portal,0.0,,0.0,breast cancer proteome portal,0.0,1,https://pdc.cancer.gov/,200,,,,,,,,,,,breast cancer proteome portal,,ok
35037225,AGROLD,0.0,agrold,0.0,,0.0,1,http://www.agrold.org/,200,,,,,,,,,,,agrold,CAPITALIZED,ok
39510367,HEAL,0.0,heal | impowr,0.0,,0.0,1,https://heal.nih.gov/data,200,,,,,,,,,,,heal | impowr,"PIPE_CLEANED,CAPITALIZED",ok
37104266,bookshelf,0.0,,0.0,bookshelf,0.0,1,https://www.ncbi.nlm.nih.gov/books/,200,,,,,,,,,,,bookshelf,,ok
36449162,ATLAS,0.0,atlas | bs-,0.0,,0.0,1,https://www.mongodb.com/atlas/database,200,,,,,,,,,,,atlas | bs-,"PIPE_CLEANED,CAPITALIZED",ok
36794865,genomes online database,0.0,,0.0,genomes online database,0.0,1,https://gold.jgi.doe.gov/,200,,,,,,,,,,,genomes online database,,ok
37614126,BOLD,0.0,bold,0.0,,0.0,1,https://www.boldsystems.org/,200,,,,,,,,,,,bold,CAPITALIZED,ok
37646946,chilean plants cytogenetic database,0.0,,0.0,chilean plants cytogenetic database,0.0,1,http://www.chileanpcd.com/,200,,,,,,,,,,,chilean plants cytogenetic database,,ok
38335132,IPTG,0.0,iptg,0.0,lactospanks,0.0,1,https://www.addgene.org/,200,,,,,,,,,,,iptg,CAPITALIZED,ok
36008656,candida genome database,0.0,,0.0,candida genome database,0.0,1,http://www.candidagenome.org/,200,,,,,,,,,,,candida genome database,,ok
36107335,FPBASE,0.0,fpbase,0.0,,0.0,1,https://www.fpbase.org/,200,,,,,,,,,,,fpbase,CAPITALIZED,ok
38909399,BRCA,0.0,brca,0.0,,0.0,1,https://brcaexchange.org/,200,,,,,,,,,,,brca,CAPITALIZED,ok
37435391,association of biomolecular resource facilities,0.0,,0.0,association of biomolecular resource facilities,0.0,1,https://coremarketplace.org/,200,,,,,,,,,,,association of biomolecular resource facilities,,ok
40728623,moonprot,0.0,,0.0,moonprot,0.0,1,http://www.moonlightingproteins.org,200,,,,,,,,,,,moonprot,,ok
