pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,db_keyword_score,title_entity_in_ner,very_high_conf,all_urls,resource_url,has_resource_url,url_context,article_count,url_status,url_final,url_score,url_is_live,url_likelihood,url_indicators_found,url_wayback_used
39379619,The O-GlcNAc database: introducing new features and tools developed from community feedback.,"O-GlcNAc is a reversible post-translational modification found on serine and threonine residues of nucleocytoplasmic proteins. Four years ago, we released the O-GlcNAc Database ( oglcnac.mcw.edu ), a comprehensive catalog of O-GlcNAcylated proteins that has become one of the most cited resources in the field, with hundreds of unique users per month. We are now presenting an updated O-GlcNAc Database, which includes nearly 20,000 O-GlcNAcylated proteins and 48 species, marking substantial growth in data volume and scope. This paper presents the most noteworthy features implemented over the last year, often originating from feedback from the O-GlcNAc community. Among these features, we provide a brief overview of the database content, introduce our new protein viewer mode, and discuss the implementation of subcellular localization information and its applications in the O-GlcNAc score. We also provide an interface to use CytOVS, a tool designed to evaluate and sort O-GlcNAcome datasets derived from MS experiments. In conclusion, this new and improved O-GlcNAc Database represents a significant advancement in providing a comprehensive and expanded resource for researchers in the field of O-GlcNAc biology.",True,False,3.5,,o-glcnac database,,20.9332913,ok,,o-glcnac,cytovs,spacy+v2,0.9332913,O-GlcNAc database,True,6.0,True,True,,https://www.oglcnac.mcw.edu/,True,websearch_recovery: HIGH,1,,https://www.oglcnac.mcw.edu/,34,True,CRITICAL,Content: UniProt; Content: genome; Content: gene; Content: protein; Content: archive; Content: resource; Content: search; Content: query; Content: download; Content: submit; Title: data; Title: database; ★ TITLE BONUS: 'database' in page title,True
37646950,"Release 4.0 of the Plant rDNA Database: A Database on Plant Ribosomal DNA Loci Number, Their Position, and Organization: An Information Source for Comparative Cytogenetics.","This paper presents the latest update to the Plant rDNA database (Release 4.0), a valuable resource for researchers in the field of plant cytogenetics. The database provides information on the number, position, and arrangement of ribosomal DNA loci in plants, including angiosperms, gymnosperms, bryophytes, and pteridophytes. The new release includes new data for 820 species coming from additional 173 papers. In the updated version of the Plant rDNA database, 4948 entries comprising 2760 organisms can be found. A brief guide on how to navigate the database and obtain the desired information is also provided. The regular updating of the database is important for ensuring the information it contains is accurate, up-to-date, and useful for the research community. The Plant rDNA database continues to be beneficial for phylogenetic and cytogenetic studies in a wide range of taxa including angiosperms, gymnosperms, and early diverging groups, such as bryophytes and lycophytes.",True,False,3.0,,plant rdna database,,17.0,ok,,plant rdna,rdna,spacy,0.0,Release of the Plant rDNA Database,True,5.0,False,False,,https://www.plantrdnadatabase.com/,True,websearch_recovery: HIGH,1,200.0,https://www.plantrdnadatabase.com/,30,True,CRITICAL,Content: genome; Content: gene; Content: sequence; Content: molecular; Content: resource; Content: tool; Content: search; Content: query; Content: submit; Title: data; Title: database; ★ TITLE BONUS: 'database' in page title,False
37001506,The EN-TEx resource of multi-tissue personal epigenomes & variant-impact models.,"Understanding how genetic variants impact molecular phenotypes is a key goal of functional genomics, currently hindered by reliance on a single haploid reference genome. Here, we present the EN-TEx resource of 1,635 open-access datasets from four donors (∼30 tissues × ∼15 assays). The datasets are mapped to matched, diploid genomes with long-read phasing and structural variants, instantiating a catalog of >1 million allele-specific loci. These loci exhibit coordinated activity along haplotypes and are less conserved than corresponding, non-allele-specific ones. Surprisingly, a deep-learning transformer model can predict the allele-specific activity based only on local nucleotide-sequence context, highlighting the importance of transcription-factor-binding motifs particularly sensitive to variants. Furthermore, combining EN-TEx with existing genome annotations reveals strong associations between allele-specific and GWAS loci. It also enables models for transferring known eQTLs to difficult-to-profile tissues (e.g., from skin to heart). Overall, EN-TEx provides rich data and generalizable models for more accurate personal functional genomics.",True,False,3.0,,,en-tex,16.99911237,ok,,,en | ex,v2,0.99911237,,True,3.0,False,False,,http://entex.encodeproject.org/,True,websearch_recovery: HIGH,1,200.0,http://entex.encodeproject.org/,19,True,CRITICAL,Content: genome; Content: variant; Content: resource; Content: tool; Content: search; Content: download; Content: annotation; Content: data; Content: portal,False
40314147,TF2TG: an online resource mining the potential gene targets of transcription factors in Drosophila.,"Sequence-specific transcription factors (TFs) are key regulators of many biological processes, controlling the expression of their target genes through binding to the cis- regulatory regions such as promoters and enhancers. Each TF has unique DNA binding site motifs, and large-scale experiments have been conducted to characterize TF-DNA binding preferences. However, no comprehensive resource currently integrates these datasets for Drosophila. To address this need, we developed TF2TG (""transcription factor"" to ""target gene""), a comprehensive resource that combines both in vitro and in vivo datasets to link transcription factors (TFs) to their target genes based on TF-DNA binding preferences along with the protein-protein interaction data, tissue-specific transcriptomic data, and chromatin accessibility data. Although the genome offers numerous potential binding sites for each TF, only a subset is actually bound in vivo, and of these, only a fraction is functionally relevant. For instance, some TFs bind to their specific sites due to synergistic interactions with other factors nearby. This integration provides users with a comprehensive list of potential candidates as well as aids users in ranking candidate genes and determining condition-specific TF binding for studying transcriptional regulation in Drosophila.",True,False,3.0,,,tf2tg,16.99699277,ok,,,factor,v2,0.99699277,TF2TG,True,3.0,True,True,,https://www.flyrnai.org/tools/tf2tg/web/,True,websearch_recovery: HIGH,1,200.0,https://www.flyrnai.org/tools/tf2tg/web/,36,True,CRITICAL,Content: NCBI; Content: NIH; Content: genomics; Content: gene; Content: sequence; Content: expression; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: submit; Content: data,False
35175626,Plastics degradation by hydrolytic enzymes: The plastics-active enzymes database-PAZy.,"Petroleum-based plastics are durable and accumulate in all ecological niches. Knowledge on enzymatic degradation is sparse. Today, less than 50 verified plastics-active enzymes are known. First examples of enzymes acting on the polymers polyethylene terephthalate (PET) and polyurethane (PUR) have been reported together with a detailed biochemical and structural description. Furthermore, very few polyamide (PA) oligomer active enzymes are known. In this article, the current known enzymes acting on the synthetic polymers PET and PUR are briefly summarized, their published activity data were collected and integrated into a comprehensive open access database. The Plastics-Active Enzymes Database (PAZy) represents an inventory of known and experimentally verified enzymes that act on synthetic fossil fuel-based polymers. Almost 3000 homologs of PET-active enzymes were identified by profile hidden Markov models. Over 2000 homologs of PUR-active enzymes were identified by BLAST. Based on multiple sequence alignments, conservation analysis identified the most conserved amino acids, and sequence motifs for PET- and PUR-active enzymes were derived.",False,True,,0.6756699,,pazy,16.996796670000002,ok,,plastics-active enzymes database | enzymes database,azy,v2,0.99679667,Plastics degradation by hydrolytic enzymes,True,5.0,False,False,,https://www.pazy.eu/,True,websearch_recovery: HIGH,1,,https://www.pazy.eu/,0,False,VERY LOW,,False
40536267,REFINE: a database of linked clinical data and genomic biomarkers in renal cell carcinoma patients receiving immunotherapy-based treatment regimens.,"The REnal cancer consortium for Focused Investigation of Novel biomarkers and Expression (REFINE) consortium represents an important initiative in integrating clinical data with molecular sequencing in patients with advanced renal cell carcinoma (RCC) treated with immunotherapy-based approaches. By leveraging real-world evidence and genomic analysis, this consortium aims to explore putative predictive biomarkers with the potential to inform personalized treatment strategies. Findings from the REFINE database may further contribute to our understanding of disease courses of immunotherapy-based approaches for various molecular subtypes of RCC, associations of race and ethnicity with RCC treatment and outcomes with representation of patient populations underrepresented in clinical trials, and optimizing treatment sequencing.",True,False,3.0,,,refine,16.995514800000002,ok,,renal cancer consortium for,,v2,0.9955148,REFINE,True,5.0,True,True,,https://www.refine.bio/,True,websearch_recovery: HIGH,1,200.0,https://www.refine.bio/,36,True,CRITICAL,Content: EBI; Content: genome; Content: gene; Content: biological; Content: expression; Content: repository; Content: collection; Content: resource; Content: search; Content: query; Content: download; Content: submit; Content: curated; Content: data; Content: portal,False
35931779,I-TASSER-MTD: a deep-learning-based platform for multi-domain protein structure and function prediction.,"Most proteins in cells are composed of multiple folding units (or domains) to perform complex functions in a cooperative manner. Relative to the rapid progress in single-domain structure prediction, there are few effective tools available for multi-domain protein structure assembly, mainly due to the complexity of modeling multi-domain proteins, which involves higher degrees of freedom in domain-orientation space and various levels of continuous and discontinuous domain assembly and linker refinement. To meet the challenge and the high demand of the community, we developed I-TASSER-MTD to model the structures and functions of multi-domain proteins through a progressive protocol that combines sequence-based domain parsing, single-domain structure folding, inter-domain structure assembly and structure-based function annotation in a fully automated pipeline. Advanced deep-learning models have been incorporated into each of the steps to enhance both the domain modeling and inter-domain assembly accuracy. The protocol allows for the incorporation of experimental cross-linking data and cryo-electron microscopy density maps to guide the multi-domain structure assembly simulations. I-TASSER-MTD is built on I-TASSER but substantially extends its ability and accuracy in modeling large multi-domain protein structures and provides meaningful functional insights for the targets at both the domain- and full-chain levels from the amino acid sequence alone.",False,True,,0.7199497,,i-tasser-mtd,16.994708539999998,ok,,,mtd,v2,0.99470854,I-TASSER-MTD,False,0.0,True,False,,https://seq2fun.dcmb.med.umich.edu/I-TASSER-MTD/,True,websearch_recovery: HIGH,1,,https://seq2fun.dcmb.med.umich.edu/I-TASSER-MTD/,33,True,CRITICAL,Content: bioinformatics; Title: protein; Content: sequence; Content: archive; Content: resource; Content: tool; Content: platform; Content: search; Content: browse; Content: download; Content: submit; Content: data; Title: server; ★ TITLE BONUS: 'server' in page title,True
40548747,Refinement of the Reference Viral Database (RVDB) for improving bioinformatics analysis of virus detection by high-throughput sequencing (HTS).,"All biological products are required to demonstrate the absence of adventitious viruses (AVs), which may be inadvertently introduced at different steps involved in the manufacturing process. The currently recommended <i>in vitro</i> and <i>in vivo</i> virus detection assays have limitations for broad detection and are lengthy and laborious. Additionally, the use of animals is discouraged by the global 3 R's initiative for replacement, reduction, and refinement. High-throughput or next-generation sequencing (HTS/NGS) technologies can rapidly detect known and novel viruses in biological materials. There are, however, challenges for HTS detection of AVs due to differential abundance of viral sequences in public databases, which led to the creation of a non-redundant, Reference Viral Database (RVDB) containing all viral, viral-like, and viral-related sequences, with a reduced cellular sequence content. In this paper, we describe improvements in RVDB, which include the transition of RVDB production scripts from the original Python 2 to Python 3 codebase, updating the semantic pipeline to remove misannotated non-viral sequences and irrelevant viral sequences, use of taxonomy for the removal of phages, and inclusion of a quality-check step for SARS-CoV-2 genomes to exclude low-quality sequences. Additionally, RVDB website updates include search tools for exploring the database sequences and implementation of an automatic pipeline for providing annotation information to distinguish non-viral and viral sequences in the database. These updates for refining RVDB are expected to enhance HTS bioinformatics by reducing the computational time and increasing the accuracy for virus detection.IMPORTANCEHigh-throughput sequencing (HTS) has emerged as an advanced technology for demonstrating the safety of biological products. HTS can be used as an alternative adventitious virus detection method for replacing the currently recommended <i>in vivo</i> and PCR assays and supplementing or replacing the <i>in vitro</i> cell culture assays. However, HTS bioinformatics analysis for broad virus detection, including both known and novel viruses, depends on using a comprehensive and accurately annotated database. In this study, we have refined our original comprehensive Reference Virus Database (RVDB) for greater accuracy of virus detection with a reduced computational burden. Additionally, the production script for automating the generation of RVDB was updated to facilitate reliable database production and timely availability.",True,False,4.0,,,rvdb,16.99429363,ok,,reference viral database | reference virus database,,v2,0.99429363,,True,6.0,False,False,,https://rvdb.dbi.udel.edu/,True,websearch_recovery: HIGH,1,200.0,https://rvdb.dbi.udel.edu/,43,True,CRITICAL,Content: NCBI; Content: NIH; Content: bioinformatics; Content: gene; Content: sequence; Content: archive; Content: collection; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: annotation; Title: data; Title: database; ★ TITLE BONUS: 'database' in page title,False
34718735,FlyAtlas 2 in 2022: enhancements to the Drosophila melanogaster expression atlas.,"FlyAtlas 2 (flyatlas2.org) is a database and web application for studying the expression of the genes of Drosophila melanogaster in different tissues of adults and larvae. It is based on RNA-Seq data, and incorporates both genes encoding proteins and microRNAs. We have now completed the population of the database with 13 tissues from both male and female adults, five sex-specific tissues, and eight larval tissues. Larval garland cell nephrocytes have also been included. Major enhancements have been made to the application. First, a facility has been added for a 'Profile' search for genes with a similar pattern of tissue expression as a query gene. This may help establish the function of genes for which this is currently unknown. Second, a facility has been added dedicated to the larval midgut, where the difference in gene expression in the five regions of different pH can be explored. A variety of further improvements to the interface are described.",False,True,,0.6977876,flyatlas 2,,16.985714700000003,ok,,flyatlas | flyatlas2.org,,v2,0.9857147,FlyAtlas in,False,0.0,False,False,,https://flyatlas.gla.ac.uk/FlyAtlas2/index.html,True,websearch_recovery: HIGH,1,200.0,https://flyatlas.gla.ac.uk/FlyAtlas2/index.html,21,True,CRITICAL,Content: NCBI; Content: genome; Title: gene; Title: expression; Content: search; Content: annotation; Content: data; Content: database,False
36823331,"Outbreak.info Research Library: a standardized, searchable platform to discover and explore COVID-19 resources.","Outbreak.info Research Library is a standardized, searchable interface of coronavirus disease 2019 (COVID-19) and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) publications, clinical trials, datasets, protocols and other resources, built with a reusable framework. We developed a rigorous schema to enforce consistency across different sources and resource types and linked related resources. Researchers can quickly search the latest research across data repositories, regardless of resource type or repository location, via a search interface, public application programming interface (API) and R package.",True,False,3.0,,outbreak.info,,16.981831800000002,ok,,,,v2,0.9818318,Outbreak.info Research Library,True,3.0,False,False,,https://outbreak.info/,True,websearch_recovery: HIGH,1,200.0,https://outbreak.info/,4,True,LOW,Content: query; Title: data,False
35131258,Explaining and Predicting Allostery with Allosteric Database and Modern Analytical Techniques.,"Allostery is a phenomenon that the protein activity is regulated when a non-functional site on it is bounded. This phenomenon is important in life process and disease therapy. However, it is difficult to study allostery due to the lack of knowledge. Facing this demand, we have created Allosteric Database (ASD) 10 years before to collect numerous kinds of allosteric data. In this review, we will introduce the 4 categories of data in ASD. For each category, we further reviewed how researchers applied ASD data to conduct studies. We focused on their research topics, analytical methods and conclusions. Several discoveries of new drug targets and allosteric modulators driven by ASD are also summarized. We hope this review could inspire researchers with new utilities of ASD data.",False,True,,0.6319961,allosteric database,,16.9777709,ok,,,asd,v2,0.9777709,,True,5.0,False,False,,https://mdl.shsmu.edu.cn/ASD/,True,websearch_recovery: HIGH,1,200.0,https://mdl.shsmu.edu.cn/ASD/,32,True,CRITICAL,Content: gene; Content: protein; Content: molecular; Content: mutation; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: curated; Content: annotation; Content: data; Content: database; Content: server,False
38995537,UniCarb-DB: An MS/MS Experimental Glycomic Fragmentation Database.,"Glycosylation is a unique posttranslational modification that dynamically shapes the surface of cells. Glycans attached to proteins or lipids in a cell or tissue are studied as a whole and collectively designated as a glycome. UniCarb-DB is a glycomic spectral library of tandem mass spectrometry (MS/MS) fragment data. The current version of the database consists of over 1500 entries and over 1000 unique structures. Each entry contains parent ion information with associated MS/MS spectra, metadata about the original publication, experimental conditions, and biological origin. Each structure is also associated with the GlyTouCan glycan structure repository allowing easy access to other glycomic resources. The database can be directly utilized by mass spectrometry (MS) experimentalists through the conversion of data generated by MS into structural information. Flexible online search tools along with a downloadable version of the database are easily incorporated in either commercial or open-access MS software. This chapter highlights UniCarb-DB online search tool to browse differences of isomeric structures between spectra, a peak matching search between user-generated MS/MS spectra and spectra stored in UniCarb-DB and more advanced MS tools for combined quantitative and qualitative glycomics.",False,True,,0.7224536,unicarb-db,,16.973428900000002,ok,,unicarb | experimental glycomic fragmentation database | glytoucan,,v2,0.9734289,UniCarb-DB,True,6.0,True,True,,https://unicarb-db.expasy.org/,True,websearch_recovery: HIGH,1,200.0,https://unicarb-db.expasy.org/,42,True,CRITICAL,Content: NCBI; Content: NIH; Content: bioinformatics; Content: gene; Content: protein; Content: biological; Content: repository; Content: collection; Content: resource; Content: tool; Content: platform; Content: search; Content: query; Content: download; Content: data; Content: database; Content: portal,False
34864908,"RCSB Protein Data Bank: improved annotation, search and visualization of membrane protein structures archived in the PDB.","<h4>Motivation</h4>Membrane proteins are encoded by approximately one fifth of human genes but account for more than half of all US FDA approved drug targets. Thanks to new technological advances, the number of membrane proteins archived in the PDB is growing rapidly. However, automatic identification of membrane proteins or inference of membrane location is not a trivial task.<h4>Results</h4>We present recent improvements to the RCSB Protein Data Bank web portal (RCSB PDB, rcsb.org) that provide a wealth of new membrane protein annotations integrated from four external resources: OPM, PDBTM, MemProtMD and mpstruc. We have substantially enhanced the presentation of data on membrane proteins. The number of membrane proteins with annotations available on rcsb.org was increased by ∼80%. Users can search for these annotations, explore corresponding tree hierarchies, display membrane segments at the 1D amino acid sequence level, and visualize the predicted location of the membrane layer in 3D.<h4>Availability and implementation</h4>Annotations, search, tree data and visualization are available at our rcsb.org web portal. Membrane visualization is supported by the open-source Mol* viewer (molstar.org and github.com/molstar/molstar).<h4>Supplementary information</h4>Supplementary data are available at Bioinformatics online.",True,False,3.5,,,rcsb,16.894579229999998,ok,,memprotmd,pdb | opm | pdbtm | 3d.<h4 | bank | rcsb pdb,v2,0.89457923,RCSB Protein Data Bank,True,4.0,False,False,,https://www.rcsb.org/,True,websearch_recovery: HIGH,1,200.0,https://www.rcsb.org/,68,True,CRITICAL,Content: NCBI; Content: EBI; Content: NIH; Content: UniProt; Content: genome; Content: gene; Content: protein; Content: sequence; Content: molecular; Content: biological; Content: variant; Content: mutation; Content: archive; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: annotation; Content: data; Content: database; Content: server; Content: portal; Content: web service,False
